insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.995,0.083,0,
0.970,0.101,0,
0.645,0.085,0,
0.523,0.070,0,
0.975,0.087,0,
0.688,0.096,0,
0.548,0.081,0,
0.615,0.089,0,
2.239,0.083,0,
0.595,0.074,0,
0.562,0.069,0,
0.565,0.065,0,
0.560,0.106,0,
0.520,0.085,0,
0.499,0.248,0,
0.519,0.093,0,
0.502,0.090,0,
0.496,0.099,0,
0.493,0.069,0,
0.490,0.079,0,
0.555,0.078,0,
0.555,0.083,0,
0.555,0.076,0,
0.646,0.096,0,
0.698,0.084,0,
0.852,0.058,0,
0.507,0.048,0,
0.909,0.086,0,
0.547,0.060,0,
0.540,0.065,0,
1.968,0.094,0,
0.533,0.062,0,
0.562,0.070,0,
0.568,0.065,0,
0.517,0.063,0,
0.495,0.081,0,
0.526,0.060,0,
0.552,0.068,0,
0.713,0.078,0,
0.579,0.099,0,
0.787,0.107,0,
0.972,0.067,0,
0.971,0.082,0,
0.980,0.067,0,
0.629,0.065,0,
0.618,0.102,0,
0.555,0.070,0,
0.642,0.083,0,
0.763,0.231,0,
1.034,0.258,0,
0.950,0.094,0,
1.134,0.069,0,
0.925,0.076,0,
0.617,0.096,0,
0.586,0.114,0,
0.902,0.098,0,
0.938,0.107,0,
0.847,0.084,0,
0.755,0.074,0,
1.036,0.121,0,
0.822,0.248,0,
0.699,0.126,0,
1.376,0.067,0,
1.083,0.232,0,
1.607,0.273,0,
0.886,0.070,0,
0.745,0.071,0,
1.171,0.103,0,
1.026,0.090,0,
1.806,0.097,0,
1.396,0.103,0,
1.053,0.089,0,
0.832,0.075,0,
1.932,0.095,0,
0.581,0.072,0,
0.573,0.069,0,
0.538,0.071,0,
0.606,0.077,0,
0.522,0.063,0,
0.491,0.091,0,
0.492,0.062,0,
0.485,0.093,0,
0.516,0.074,0,
0.527,0.079,0,
0.569,0.059,0,
0.524,0.063,0,
0.658,0.102,0,
1.035,0.087,0,
1.001,0.076,0,
1.236,0.075,0,
1.676,0.194,0,
1.113,0.072,0,
1.836,0.180,0,
1.677,0.080,0,
0.726,0.061,0,
0.551,0.060,0,
0.538,0.668,0,
0.594,0.068,0,
0.582,0.061,0,
0.571,0.090,0,
0.565,0.117,0,
0.568,0.062,0,
0.572,0.124,0,
0.552,0.052,0,
0.559,0.072,0,
0.567,0.068,0,
1.083,0.080,0,
0.913,0.080,0,
0.946,0.059,0,
0.586,0.066,0,
0.749,0.084,0,
0.519,0.077,0,
0.532,0.055,0,
0.649,0.081,0,
0.611,0.062,0,
0.619,0.074,0,
0.754,0.085,0,
0.723,0.063,0,
0.768,0.059,0,
0.658,0.082,0,
0.767,0.073,0,
0.597,0.091,0,
0.819,0.132,0,
0.756,0.080,0,
1.059,0.068,0,
0.855,0.092,0,
2.118,0.081,0,
1.236,0.538,0,
1.653,0.175,0,
1.576,0.079,0,
1.215,0.059,0,
0.554,0.068,0,
0.489,0.089,0,
0.489,0.069,0,
0.508,0.059,0,
0.509,0.072,0,
0.514,0.058,0,
0.596,0.065,0,
0.598,0.075,0,
1.152,0.231,0,
0.717,0.078,0,
0.820,0.067,0,
0.588,0.069,0,
0.675,0.076,0,
0.959,0.101,0,
