insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.265,1.290,0,
0.333,1.256,0,
1.518,1.336,0,
0.188,1.248,0,
0.285,2.447,0,
0.299,1.114,0,
0.119,1.058,0,
0.096,1.041,0,
0.133,1.056,0,
0.108,1.107,0,
0.133,1.221,0,
0.128,1.274,0,
0.504,1.417,0,
0.188,1.104,0,
0.108,1.012,0,
0.077,1.010,0,
0.104,0.965,0,
0.070,0.957,0,
0.072,0.974,0,
0.069,1.000,0,
0.100,0.980,0,
0.072,0.973,0,
0.077,1.023,0,
0.100,0.963,0,
0.345,1.020,0,
0.084,4.443,0,
0.205,2.606,0,
0.200,1.241,0,
0.101,1.057,0,
0.072,1.192,0,
0.134,1.484,0,
0.236,1.978,0,
0.403,8.591,0,
0.239,1.288,0,
0.099,1.155,0,
0.080,1.128,0,
0.101,1.083,0,
0.108,1.139,0,
0.172,1.074,0,
0.105,2.400,0,
0.155,1.138,0,
0.114,1.182,0,
0.107,1.078,0,
0.079,1.593,0,
0.212,1.744,0,
0.118,0.982,0,
0.078,0.966,0,
0.071,1.215,0,
0.076,1.000,0,
0.077,1.064,0,
0.120,2.371,0,
0.130,1.034,0,
0.128,1.034,0,
0.141,0.990,0,
0.142,1.060,0,
0.159,1.118,0,
0.117,1.059,0,
0.136,1.004,0,
0.081,1.071,0,
0.118,1.039,0,
0.089,1.035,0,
0.096,1.183,0,
0.216,1.059,0,
0.125,1.178,0,
0.090,1.239,0,
0.106,1.047,0,
0.141,1.091,0,
0.292,1.091,0,
0.142,1.099,0,
0.256,3.116,0,
0.159,1.042,0,
0.081,2.542,0,
0.131,1.280,0,
0.087,1.048,0,
0.081,1.082,0,
0.066,1.008,0,
0.080,1.000,0,
0.083,1.042,0,
0.067,0.965,0,
0.080,1.094,0,
0.077,0.966,0,
0.112,1.022,0,
0.107,1.146,0,
0.109,1.048,0,
0.094,1.753,0,
0.154,0.978,0,
0.075,0.997,0,
0.076,1.001,0,
0.099,11.095,0,
0.127,1.433,0,
0.241,1.480,0,
0.132,3.482,0,
0.158,1.141,0,
0.098,1.134,0,
0.144,1.056,0,
0.146,1.375,0,
0.095,1.037,0,
0.095,1.245,0,
0.249,1.131,0,
0.176,1.009,0,
0.127,1.049,0,
0.096,1.016,0,
0.100,1.030,0,
0.095,0.990,0,
0.096,1.269,0,
0.096,0.975,0,
0.093,0.994,0,
0.081,1.061,0,
0.069,1.059,0,
0.119,1.330,0,
0.092,1.952,0,
0.125,1.063,0,
0.100,1.127,0,
0.208,1.153,0,
0.116,1.079,0,
0.104,1.086,0,
0.108,1.025,0,
0.140,1.229,0,
0.220,1.896,0,
0.353,1.112,0,
0.087,2.698,0,
0.138,1.085,0,
0.089,1.101,0,
0.086,0.965,0,
0.073,0.970,0,
0.076,0.941,0,
0.321,0.974,0,
0.074,0.993,0,
0.100,1.083,0,
0.186,1.063,0,
0.084,1.068,0,
0.100,0.996,0,
0.107,1.058,0,
0.297,1.995,0,
0.122,1.028,0,
0.118,1.079,0,
0.138,1.253,0,
0.153,1.009,0,
0.080,0.963,0,
0.078,1.033,0,
0.128,1.022,0,
0.174,1.025,0,
0.147,1.189,0,
0.127,0.988,0,
0.095,0.969,0,
0.096,1.299,0,
0.116,1.353,0,
0.311,1.457,0,
0.098,0.982,0,
0.083,1.061,0,
0.070,1.191,0,
0.096,1.058,0,
0.075,1.003,0,
0.073,2.207,0,
0.308,1.493,0,
0.234,1.072,0,
0.131,1.039,0,
0.097,1.356,0,
0.119,1.123,0,
0.088,2.007,0,
0.114,8.579,0,
0.162,1.301,0,
0.117,1.179,0,
0.097,1.079,0,
0.116,1.178,0,
0.161,1.219,0,
0.179,1.157,0,
0.127,2.336,0,
0.427,1.215,0,
0.186,1.262,0,
0.153,1.162,0,
0.146,1.500,0,
0.194,1.118,0,
0.173,1.088,0,
0.136,1.187,0,
0.087,1.102,0,
0.074,1.034,0,
0.070,2.459,0,
0.675,1.552,0,
0.116,1.032,0,
0.076,1.014,0,
0.095,1.399,0,
0.096,1.055,0,
0.068,0.971,0,
0.076,1.048,0,
0.087,1.048,0,
0.113,1.047,0,
0.080,1.656,0,
0.096,1.140,0,
0.353,1.616,0,
0.103,0.993,0,
0.073,0.986,0,
0.074,1.119,0,
0.082,0.996,0,
0.084,1.005,0,
0.082,0.979,0,
0.085,0.962,0,
0.098,1.171,0,
0.150,1.939,0,
0.156,1.188,0,
0.127,1.018,0,
0.153,1.079,0,
0.179,1.050,0,
0.183,1.208,0,
0.231,1.411,0,
0.295,1.303,0,
0.619,1.069,0,
0.132,1.215,0,
0.088,2.113,0,
0.103,1.080,0,
0.096,1.123,0,
0.087,1.067,0,
0.182,2.105,0,
0.168,1.039,0,
0.181,2.801,0,
0.225,1.199,0,
0.102,1.358,0,
0.120,1.308,0,
0.084,2.745,0,
0.121,1.022,0,
0.113,1.026,0,
0.088,1.671,0,
0.110,1.063,0,
0.075,1.493,0,
0.084,1.047,0,
0.095,1.496,0,
0.108,1.213,0,
0.095,1.155,0,
0.163,8.941,0,
0.155,1.222,0,
0.298,1.078,0,
0.144,1.063,0,
0.086,0.955,0,
0.077,1.002,0,
0.093,1.340,0,
0.422,2.453,0,
0.901,1.232,0,
0.116,1.400,0,
0.077,1.146,0,
0.091,1.021,0,
0.072,0.956,0,
0.079,1.092,0,
0.107,1.089,0,
0.087,1.081,0,
0.113,1.662,0,
0.109,1.573,0,
0.567,1.215,0,
0.107,0.985,0,
0.091,0.994,0,
0.074,1.145,0,
0.090,0.971,0,
0.073,0.974,0,
0.069,1.275,0,
0.078,0.976,0,
0.070,1.016,0,
0.128,1.076,0,
0.101,4.356,0,
0.150,1.143,0,
0.170,1.110,0,
0.174,1.276,0,
0.299,1.982,0,
0.216,0.990,0,
0.193,1.229,0,
0.155,1.046,0,
0.116,2.689,0,
0.278,1.071,0,
0.084,0.937,0,
0.102,1.071,0,
0.073,1.085,0,
