insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.098,0.458,0,
0.116,0.443,0,
0.114,0.408,0,
0.094,0.361,0,
0.142,0.358,0,
0.083,0.374,0,
0.241,0.358,0,
0.106,0.380,0,
0.144,0.543,0,
0.192,0.408,0,
0.179,0.362,0,
0.813,0.423,0,
0.320,0.359,0,
0.166,0.326,0,
0.099,0.383,0,
0.097,0.397,0,
0.128,0.394,0,
0.111,0.356,0,
0.093,0.369,0,
0.071,0.427,0,
0.187,0.420,0,
0.122,0.410,0,
0.092,0.416,0,
0.164,0.354,0,
0.221,0.338,0,
0.180,0.338,0,
0.227,0.384,0,
0.207,0.368,0,
0.211,0.339,0,
0.215,0.409,0,
0.225,0.348,0,
0.108,0.429,0,
0.258,0.341,0,
0.111,0.352,0,
0.207,0.347,0,
0.086,0.356,0,
0.125,0.376,0,
0.083,0.334,0,
0.095,0.374,0,
0.129,0.381,0,
0.295,0.379,0,
0.229,0.374,0,
0.342,0.381,0,
0.215,0.321,0,
0.204,0.675,0,
0.162,0.392,0,
0.197,0.362,0,
0.151,0.471,0,
0.146,0.429,0,
0.168,0.422,0,
0.122,0.374,0,
0.142,0.345,0,
0.151,0.478,0,
0.142,0.509,0,
0.561,0.529,0,
0.248,0.637,0,
0.295,0.445,0,
0.194,0.429,0,
0.261,0.417,0,
0.219,0.384,0,
0.324,0.347,0,
0.288,0.356,0,
0.334,0.339,0,
0.159,0.450,0,
0.183,0.320,0,
0.197,0.367,0,
0.180,0.713,0,
0.149,0.457,0,
0.540,0.559,0,
0.138,0.354,0,
0.131,0.341,0,
0.081,0.351,0,
0.121,0.346,0,
0.074,0.348,0,
0.110,0.361,0,
0.089,0.399,0,
0.191,0.358,0,
0.146,0.391,0,
0.096,0.407,0,
0.182,0.369,0,
0.231,0.427,0,
0.185,0.335,0,
0.234,0.413,0,
0.199,0.364,0,
0.206,0.346,0,
0.153,0.340,0,
0.184,0.359,0,
0.157,0.387,0,
0.100,0.359,0,
0.166,0.428,0,
0.299,0.341,0,
0.230,0.364,0,
0.724,0.543,0,
0.705,0.352,0,
0.282,0.339,0,
0.208,0.357,0,
0.188,0.349,0,
0.091,7.425,0,
0.277,0.359,0,
0.133,0.494,0,
0.112,0.339,0,
0.092,0.367,0,
0.109,0.354,0,
0.087,0.372,0,
0.197,0.343,0,
0.090,0.414,0,
0.140,0.398,0,
0.127,0.422,0,
0.228,0.592,0,
0.129,0.325,0,
0.147,0.402,0,
0.104,0.488,0,
0.121,0.362,0,
0.078,0.360,0,
0.138,0.401,0,
0.130,0.347,0,
0.135,0.346,0,
0.119,0.385,0,
0.184,0.355,0,
0.111,0.351,0,
0.174,0.501,0,
0.082,0.450,0,
0.169,0.962,0,
0.182,0.363,0,
2.633,0.368,0,
0.298,0.486,0,
0.122,0.354,0,
0.084,0.343,0,
0.121,0.342,0,
