insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.050,0.022,0,
0.037,0.021,0,
0.080,0.017,0,
0.045,0.024,0,
0.037,0.025,0,
0.040,0.025,0,
0.047,0.021,0,
0.043,0.023,0,
0.078,0.021,0,
0.041,0.019,0,
0.036,0.020,0,
0.041,0.021,0,
0.040,0.018,0,
0.043,0.022,0,
0.072,0.021,0,
0.045,0.023,0,
0.037,0.055,0,
0.047,0.021,0,
0.045,0.019,0,
0.046,0.022,0,
0.051,0.030,0,
0.043,0.021,0,
0.045,0.022,0,
0.073,0.019,0,
0.045,0.023,0,
0.046,0.021,0,
0.040,0.023,0,
0.043,0.017,0,
0.040,0.018,0,
0.047,0.023,0,
0.044,0.019,0,
0.045,0.020,0,
0.141,0.023,0,
0.043,0.023,0,
0.155,0.026,0,
0.227,0.026,0,
0.450,0.022,0,
0.275,0.032,0,
0.141,0.027,0,
0.042,0.025,0,
0.048,0.017,0,
0.048,0.110,0,
0.048,0.023,0,
0.049,0.024,0,
0.146,0.025,0,
0.047,0.022,0,
0.096,0.022,0,
0.045,0.021,0,
0.113,0.024,0,
0.052,0.019,0,
0.047,0.022,0,
0.043,0.060,0,
0.047,0.015,0,
0.098,0.023,0,
0.052,0.023,0,
0.043,0.017,0,
0.040,0.019,0,
0.074,0.022,0,
0.049,0.027,0,
0.074,0.021,0,
0.044,0.026,0,
0.041,0.017,0,
0.208,0.022,0,
0.047,0.019,0,
0.112,0.030,0,
0.187,0.023,0,
0.258,0.023,0,
0.152,0.029,0,
0.089,0.022,0,
0.049,0.020,0,
0.057,0.074,0,
0.068,0.034,0,
0.041,0.020,0,
0.039,0.022,0,
0.038,0.020,0,
0.047,0.034,0,
0.059,0.020,0,
0.044,0.025,0,
0.042,0.023,0,
0.047,0.040,0,
0.047,0.023,0,
0.042,0.020,0,
0.062,0.019,0,
0.048,0.023,0,
0.044,0.023,0,
0.049,0.023,0,
0.036,0.019,0,
0.042,0.022,0,
0.049,0.023,0,
0.049,0.020,0,
0.045,0.024,0,
0.050,0.019,0,
0.034,0.023,0,
0.044,0.023,0,
0.037,0.020,0,
0.042,0.021,0,
0.047,0.024,0,
0.042,0.020,0,
0.037,0.027,0,
0.101,0.023,0,
0.041,0.020,0,
0.038,0.018,0,
0.040,0.019,0,
0.043,0.021,0,
0.045,0.022,0,
0.091,0.025,0,
0.046,0.030,0,
0.065,0.038,0,
0.059,0.020,0,
0.052,0.024,0,
0.121,0.022,0,
0.044,0.022,0,
0.054,0.023,0,
0.114,0.023,0,
0.053,0.021,0,
0.074,0.035,0,
0.058,0.019,0,
0.058,0.021,0,
0.060,0.019,0,
0.156,0.022,0,
0.054,0.026,0,
0.220,0.021,0,
0.058,0.021,0,
0.047,0.021,0,
0.073,0.021,0,
0.062,0.020,0,
0.063,0.021,0,
0.048,0.025,0,
0.206,0.022,0,
0.271,0.015,0,
0.323,0.024,0,
0.240,0.019,0,
0.290,0.023,0,
0.217,0.021,0,
0.076,0.026,0,
0.049,0.021,0,
0.040,0.061,0,
0.049,0.047,0,
0.043,0.022,0,
0.043,0.037,0,
0.061,0.023,0,
0.048,0.036,0,
0.045,0.021,0,
0.066,0.069,0,
0.062,0.025,0,
0.043,0.036,0,
0.042,0.023,0,
0.088,0.023,0,
0.059,0.020,0,
0.056,0.025,0,
0.065,0.022,0,
0.054,0.024,0,
0.057,0.022,0,
0.096,0.025,0,
0.054,0.023,0,
0.063,0.018,0,
0.067,0.019,0,
0.071,0.022,0,
0.095,0.023,0,
0.073,0.022,0,
0.082,0.016,0,
0.072,0.023,0,
0.091,0.021,0,
0.155,0.022,0,
0.094,0.020,0,
0.075,0.025,0,
0.058,0.023,0,
0.062,0.022,0,
0.046,0.020,0,
0.073,0.023,0,
0.042,0.022,0,
0.069,0.020,0,
0.125,0.027,0,
0.102,0.019,0,
0.121,0.021,0,
0.170,0.020,0,
0.129,0.027,0,
0.120,0.019,0,
0.164,0.032,0,
0.120,0.027,0,
0.135,0.022,0,
0.143,0.024,0,
0.150,0.025,0,
0.127,0.046,0,
0.092,0.027,0,
0.150,0.022,0,
0.104,0.025,0,
0.110,0.020,0,
0.163,0.023,0,
0.130,0.023,0,
0.112,0.023,0,
0.115,0.022,0,
0.094,0.021,0,
0.097,0.024,0,
0.097,0.016,0,
