insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.046,0.005,0.912,
0.044,0.005,0.912,
0.042,0.004,0.912,
0.038,0.005,0.912,
0.041,0.005,0.912,
0.037,0.005,0.912,
0.042,0.006,0.912,
0.049,0.005,0.912,
0.042,0.005,0.912,
0.039,0.007,0.912,
0.043,0.005,0.912,
0.043,0.007,0.912,
0.041,0.004,0.912,
0.038,0.005,0.912,
0.038,0.002,0.912,
0.040,0.005,0.912,
0.050,0.005,0.912,
0.041,0.004,0.912,
0.041,0.004,0.912,
0.042,0.006,0.912,
0.038,0.004,0.912,
0.036,0.005,0.912,
0.040,0.002,0.912,
0.038,0.003,0.912,
0.055,0.004,0.912,
0.044,0.004,0.912,
0.041,0.004,0.912,
0.065,0.003,0.912,
0.039,0.004,0.912,
0.050,0.004,0.912,
0.040,0.005,0.912,
0.040,0.005,0.912,
0.041,0.004,0.912,
0.038,0.005,0.912,
0.038,0.005,0.912,
0.044,0.005,0.912,
0.042,0.004,0.912,
0.036,0.005,0.912,
0.064,0.004,0.912,
0.040,0.003,0.912,
0.039,0.004,0.912,
0.039,0.004,0.912,
0.036,0.003,0.912,
0.039,0.003,0.912,
0.039,0.005,0.912,
0.040,0.004,0.912,
0.045,0.003,0.912,
0.042,0.003,0.912,
0.037,0.006,0.912,
0.037,0.003,0.912,
0.042,0.004,0.912,
0.040,0.005,0.912,
0.038,0.003,0.912,
0.037,0.003,0.912,
0.039,0.004,0.912,
0.046,0.005,0.912,
0.039,0.006,0.912,
0.039,0.004,0.912,
0.042,0.004,0.912,
0.042,0.005,0.912,
0.040,0.004,0.912,
0.040,0.004,0.912,
0.040,0.005,0.912,
0.038,0.006,0.912,
0.051,0.003,0.912,
0.042,0.005,0.912,
0.038,0.004,0.912,
0.040,0.004,0.912,
0.037,0.005,0.912,
0.041,0.005,0.912,
0.040,0.004,0.912,
0.040,0.005,0.912,
0.038,0.006,0.912,
0.040,0.003,0.912,
0.039,0.005,0.912,
0.038,0.004,0.912,
0.039,0.004,0.912,
0.040,0.006,0.912,
0.049,0.006,0.912,
0.040,0.004,0.912,
0.046,0.005,0.912,
0.059,0.003,0.912,
0.053,0.005,0.912,
0.055,0.003,0.912,
0.051,0.005,0.912,
0.047,0.005,0.912,
0.049,0.004,0.912,
0.045,0.004,0.912,
0.062,0.005,0.912,
0.046,0.006,0.912,
0.051,0.006,0.912,
0.065,0.004,0.912,
0.107,0.004,0.912,
0.052,0.004,0.912,
0.058,0.004,0.912,
0.049,0.004,0.912,
0.048,0.004,0.912,
0.047,0.006,0.912,
0.049,0.004,0.912,
0.044,0.003,0.912,
0.048,0.005,0.912,
0.045,0.005,0.912,
0.058,0.005,0.912,
0.044,0.005,0.912,
0.047,0.003,0.912,
0.049,0.006,0.912,
0.046,0.005,0.912,
0.049,0.005,0.912,
0.041,0.005,0.912,
0.047,0.003,0.912,
0.049,0.004,0.912,
0.048,0.006,0.912,
0.048,0.006,0.912,
0.040,0.006,0.912,
0.043,0.005,0.912,
0.046,0.004,0.912,
0.045,0.006,0.912,
0.054,0.003,0.912,
0.042,0.004,0.912,
0.045,0.006,0.912,
0.044,0.003,0.912,
0.047,0.004,0.912,
0.044,0.005,0.912,
0.049,0.004,0.912,
0.045,0.005,0.912,
0.055,0.004,0.912,
0.045,0.005,0.912,
0.047,0.004,0.912,
0.049,0.005,0.912,
0.045,0.005,0.912,
0.046,0.004,0.912,
0.048,0.006,0.912,
0.047,0.004,0.912,
0.059,0.004,0.912,
0.043,0.003,0.912,
0.045,0.004,0.912,
0.047,0.006,0.912,
0.046,0.006,0.912,
0.044,0.003,0.912,
0.045,0.002,0.912,
0.050,0.004,0.912,
0.043,0.005,0.912,
0.039,0.005,0.912,
0.034,0.005,0.912,
0.035,0.005,0.912,
0.035,0.003,0.912,
0.033,0.003,0.912,
0.036,0.005,0.912,
0.037,0.004,0.912,
0.036,0.004,0.912,
