insert() runtime [ms],get() runtime [ms],memory usage [kB],
3.117,0.009,0.912,
3.086,0.009,0.912,
3.215,0.014,0.912,
3.138,0.012,0.912,
3.097,0.010,0.912,
3.224,0.011,0.912,
3.202,0.011,0.912,
3.432,0.012,0.912,
3.246,0.014,0.912,
3.255,0.012,0.912,
3.192,0.014,0.912,
3.183,0.010,0.912,
3.077,0.010,0.912,
3.094,0.012,0.912,
3.224,0.016,0.912,
3.135,0.007,0.912,
3.224,0.012,0.912,
3.253,0.012,0.912,
3.390,0.016,0.912,
3.207,0.026,0.912,
3.302,0.014,0.912,
3.062,0.009,0.912,
3.320,0.011,0.912,
3.015,0.010,0.912,
3.066,0.008,0.912,
3.066,0.008,0.912,
3.076,0.010,0.912,
3.168,0.016,0.912,
3.426,0.010,0.912,
3.414,0.017,0.912,
3.609,0.010,0.912,
3.397,0.011,0.912,
3.093,0.010,0.912,
3.039,0.010,0.912,
3.281,0.010,0.912,
3.059,0.008,0.912,
3.061,0.009,0.912,
3.023,0.009,0.912,
3.050,0.010,0.912,
3.191,0.014,0.912,
3.430,0.013,0.912,
3.622,0.016,0.912,
3.514,0.016,0.912,
3.243,0.010,0.912,
3.197,0.018,0.912,
3.379,0.015,0.912,
3.015,0.012,0.912,
3.047,0.012,0.912,
3.100,0.008,0.912,
3.103,0.009,0.912,
3.241,0.008,0.912,
3.172,0.014,0.912,
3.512,0.017,0.912,
3.282,0.014,0.912,
3.245,0.012,0.912,
3.109,0.012,0.912,
3.089,0.009,0.912,
3.322,0.008,0.912,
3.063,0.015,0.912,
3.105,0.012,0.912,
3.071,0.010,0.912,
3.237,0.012,0.912,
3.182,0.010,0.912,
3.415,0.017,0.912,
3.221,0.015,0.912,
3.194,0.011,0.912,
3.022,0.009,0.912,
3.028,0.006,0.912,
3.248,0.009,0.912,
3.073,0.013,0.912,
3.175,0.009,0.912,
3.085,0.011,0.912,
3.012,0.009,0.912,
3.191,0.012,0.912,
3.166,0.009,0.912,
3.330,0.020,0.912,
3.564,0.012,0.912,
3.364,0.012,0.912,
3.264,0.009,0.912,
3.247,0.014,0.912,
3.123,0.008,0.912,
3.268,0.031,0.912,
3.095,0.007,0.912,
3.074,0.009,0.912,
3.117,0.010,0.912,
3.412,0.012,0.912,
3.320,0.012,0.912,
3.247,0.014,0.912,
3.228,0.016,0.912,
3.279,0.010,0.912,
3.171,0.012,0.912,
3.197,0.010,0.912,
3.047,0.015,0.912,
3.187,0.008,0.912,
3.063,0.013,0.912,
3.063,0.020,0.912,
3.213,0.013,0.912,
3.720,0.018,0.912,
3.341,0.014,0.912,
3.264,0.008,0.912,
3.282,0.008,0.912,
3.185,0.014,0.912,
3.145,0.010,0.912,
3.016,0.010,0.912,
3.394,0.010,0.912,
3.041,0.012,0.912,
3.076,0.010,0.912,
3.100,0.009,0.912,
3.957,0.019,0.912,
3.308,0.011,0.912,
3.349,0.011,0.912,
3.266,0.011,0.912,
3.232,0.012,0.912,
3.170,0.013,0.912,
3.056,0.012,0.912,
3.375,0.013,0.912,
3.034,0.017,0.912,
3.105,0.015,0.912,
3.222,0.012,0.912,
3.701,0.016,0.912,
3.249,0.010,0.912,
