insert() runtime [ms],get() runtime [ms],memory usage [kB],
1.938,10.020,4.144,
1.383,9.826,4.144,
1.385,9.960,4.144,
1.427,10.384,4.144,
1.379,9.615,4.144,
1.400,10.012,4.144,
1.438,10.159,4.144,
1.465,9.532,4.144,
1.400,9.911,4.144,
1.414,9.906,4.144,
1.387,9.631,4.144,
1.460,9.917,4.144,
1.384,9.805,4.144,
1.444,9.507,4.144,
1.524,9.822,4.144,
1.404,10.127,4.144,
1.451,9.672,4.144,
1.313,10.400,4.144,
1.345,9.946,4.144,
1.447,10.266,4.144,
1.337,9.331,4.144,
1.468,9.960,4.144,
1.432,9.713,4.144,
1.692,10.013,4.144,
1.469,9.856,4.144,
1.456,9.883,4.144,
1.422,10.095,4.144,
1.386,9.424,4.144,
1.379,10.037,4.144,
1.431,10.015,4.144,
1.461,9.959,4.144,
1.409,9.916,4.144,
1.420,9.830,4.144,
1.403,10.110,4.144,
1.377,9.668,4.144,
1.458,9.783,4.144,
1.475,9.897,4.144,
1.369,9.769,4.144,
1.560,9.906,4.144,
1.434,10.005,4.144,
1.557,9.610,4.144,
1.529,10.105,4.144,
1.409,10.198,4.144,
1.442,9.809,4.144,
1.357,10.212,4.144,
1.425,9.949,4.144,
1.347,10.374,4.144,
1.437,9.683,4.144,
1.658,9.701,4.144,
1.437,10.216,4.144,
1.459,9.462,4.144,
1.464,9.835,4.144,
1.441,10.150,4.144,
1.400,9.975,4.144,
1.354,10.069,4.144,
1.436,10.155,4.144,
1.327,9.748,4.144,
1.553,10.066,4.144,
1.474,10.302,4.144,
1.472,9.762,4.144,
1.368,9.770,4.144,
1.392,10.062,4.144,
1.480,10.258,4.144,
1.338,9.550,4.144,
1.771,10.269,4.144,
1.534,10.418,4.144,
1.482,9.582,4.144,
1.325,9.786,4.144,
1.738,10.405,4.144,
1.733,9.833,4.144,
1.339,9.427,4.144,
1.402,10.290,4.144,
1.453,10.021,4.144,
1.471,9.342,4.144,
1.307,9.756,4.144,
1.517,10.411,4.144,
1.431,9.649,4.144,
1.335,9.533,4.144,
1.348,10.465,4.144,
1.513,10.551,4.144,
1.517,9.437,4.144,
1.326,9.970,4.144,
1.680,10.502,4.144,
1.380,9.714,4.144,
1.339,9.663,4.144,
1.435,10.720,4.144,
1.410,10.167,4.144,
1.461,9.374,4.144,
1.408,9.896,4.144,
