insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.164,0.019,4.104,
0.161,0.021,4.104,
0.174,0.020,4.104,
0.170,0.022,4.104,
0.183,0.020,4.104,
0.149,0.023,4.104,
0.155,0.018,4.104,
0.159,0.023,4.104,
0.163,0.017,4.104,
0.145,0.019,4.104,
0.143,0.021,4.104,
0.139,0.022,4.104,
0.134,0.019,4.104,
0.120,0.017,4.104,
0.110,0.017,4.104,
0.099,0.021,4.104,
0.101,0.016,4.104,
0.110,0.020,4.104,
0.090,0.027,4.104,
0.095,0.020,4.104,
0.097,0.016,4.104,
0.095,0.015,4.104,
0.097,0.020,4.104,
0.109,0.017,4.104,
0.149,0.017,4.104,
0.134,0.019,4.104,
0.147,0.014,4.104,
0.162,0.020,4.104,
0.143,0.022,4.104,
0.109,0.017,4.104,
0.103,0.023,4.104,
0.099,0.026,4.104,
0.110,0.025,4.104,
0.108,0.017,4.104,
0.117,0.020,4.104,
0.113,0.020,4.104,
0.108,0.019,4.104,
0.104,0.015,4.104,
0.217,0.018,4.104,
0.132,0.026,4.104,
0.147,0.018,4.104,
0.131,0.025,4.104,
0.118,0.017,4.104,
0.114,0.018,4.104,
0.137,0.020,4.104,
0.135,0.019,4.104,
0.161,0.017,4.104,
0.148,0.016,4.104,
0.140,0.021,4.104,
0.123,0.016,4.104,
0.122,0.020,4.104,
0.123,0.017,4.104,
0.132,0.016,4.104,
0.132,0.017,4.104,
0.123,0.017,4.104,
0.134,0.020,4.104,
0.198,0.019,4.104,
0.253,0.019,4.104,
0.212,0.021,4.104,
0.168,0.018,4.104,
0.175,0.018,4.104,
0.183,0.018,4.104,
0.130,0.020,4.104,
0.122,0.020,4.104,
0.120,0.020,4.104,
0.098,0.018,4.104,
0.099,0.020,4.104,
0.098,0.020,4.104,
0.095,0.017,4.104,
0.093,0.016,4.104,
0.097,0.023,4.104,
0.098,0.020,4.104,
0.104,0.020,4.104,
0.100,0.016,4.104,
0.123,0.016,4.104,
0.134,0.018,4.104,
0.155,0.031,4.104,
0.153,0.020,4.104,
0.143,0.017,4.104,
0.224,0.019,4.104,
0.149,0.019,4.104,
0.122,0.018,4.104,
0.136,0.021,4.104,
0.133,0.027,4.104,
0.136,0.015,4.104,
0.129,0.016,4.104,
0.137,0.020,4.104,
0.133,0.021,4.104,
0.153,0.019,4.104,
0.121,0.014,4.104,
0.136,0.017,4.104,
0.149,0.018,4.104,
0.131,0.020,4.104,
0.092,0.018,4.104,
0.106,0.018,4.104,
0.094,0.019,4.104,
0.124,0.023,4.104,
0.100,0.018,4.104,
0.111,0.018,4.104,
0.113,0.022,4.104,
0.095,0.018,4.104,
0.092,0.018,4.104,
0.102,0.019,4.104,
0.103,0.017,4.104,
0.101,0.018,4.104,
0.110,0.017,4.104,
0.096,0.019,4.104,
0.095,0.016,4.104,
0.103,0.021,4.104,
0.099,0.020,4.104,
0.096,0.020,4.104,
0.104,0.020,4.104,
0.095,0.022,4.104,
0.096,0.014,4.104,
0.116,0.017,4.104,
0.113,0.014,4.104,
0.115,0.021,4.104,
0.105,0.021,4.104,
0.106,0.026,4.104,
0.123,0.017,4.104,
0.098,0.018,4.104,
0.094,0.019,4.104,
0.109,0.015,4.104,
0.100,0.017,4.104,
0.093,0.024,4.104,
0.106,0.016,4.104,
0.097,0.017,4.104,
0.100,0.019,4.104,
0.099,0.018,4.104,
0.098,0.017,4.104,
0.100,0.026,4.104,
0.096,0.016,4.104,
0.094,0.021,4.104,
0.092,0.017,4.104,
0.100,0.020,4.104,
0.091,0.020,4.104,
0.099,0.057,4.104,
0.113,0.022,4.104,
0.109,0.039,4.104,
0.139,0.027,4.104,
0.113,0.046,4.104,
0.098,0.018,4.104,
0.100,0.018,4.104,
0.109,0.016,4.104,
0.093,0.018,4.104,
0.098,0.017,4.104,
0.097,0.018,4.104,
0.104,0.017,4.104,
0.096,0.017,4.104,
0.100,0.018,4.104,
0.100,0.019,4.104,
0.092,0.017,4.104,
0.094,0.014,4.104,
0.107,0.017,4.104,
0.100,0.019,4.104,
0.108,0.016,4.104,
0.100,0.018,4.104,
0.097,0.019,4.104,
0.101,0.022,4.104,
0.101,0.021,4.104,
0.095,0.017,4.104,
0.096,0.018,4.104,
0.137,0.042,4.104,
0.161,0.018,4.104,
0.142,0.018,4.104,
0.137,0.021,4.104,
0.134,0.023,4.104,
0.121,0.018,4.104,
0.096,0.018,4.104,
0.101,0.019,4.104,
0.095,0.018,4.104,
0.092,0.020,4.104,
0.098,0.019,4.104,
0.092,0.016,4.104,
0.097,0.018,4.104,
0.098,0.020,4.104,
0.103,0.014,4.104,
0.094,0.020,4.104,
0.087,0.023,4.104,
0.100,0.019,4.104,
0.111,0.018,4.104,
0.112,0.022,4.104,
0.111,0.016,4.104,
0.110,0.019,4.104,
0.097,0.017,4.104,
0.120,0.020,4.104,
0.096,0.018,4.104,
0.107,0.016,4.104,
0.098,0.017,4.104,
0.094,0.019,4.104,
0.095,0.015,4.104,
0.092,0.015,4.104,
0.116,0.022,4.104,
0.131,0.018,4.104,
0.097,0.019,4.104,
0.093,0.021,4.104,
0.097,0.017,4.104,
0.093,0.026,4.104,
0.118,0.023,4.104,
0.106,0.017,4.104,
0.111,0.019,4.104,
0.116,0.020,4.104,
0.135,0.020,4.104,
0.167,0.019,4.104,
0.152,0.017,4.104,
0.149,0.018,4.104,
0.226,0.023,4.104,
0.175,0.018,4.104,
0.157,0.017,4.104,
0.155,0.021,4.104,
0.162,0.021,4.104,
0.163,0.023,4.104,
0.155,0.024,4.104,
0.153,0.020,4.104,
0.159,0.018,4.104,
0.173,0.019,4.104,
0.160,0.017,4.104,
