insert() runtime [ms],get() runtime [ms],memory usage [kB],
3.142,46.942,4.144,
3.070,46.496,4.144,
3.554,45.415,4.144,
3.499,46.631,4.144,
3.046,46.183,4.144,
3.767,49.477,4.144,
3.699,46.432,4.144,
3.786,45.790,4.144,
3.676,48.333,4.144,
3.125,48.828,4.144,
3.805,48.073,4.144,
3.728,50.503,4.144,
3.079,48.215,4.144,
3.163,46.412,4.144,
3.037,45.498,4.144,
3.108,45.755,4.144,
3.429,45.398,4.144,
3.205,45.825,4.144,
3.283,47.514,4.144,
3.357,46.326,4.144,
3.634,48.100,4.144,
2.842,49.942,4.144,
4.003,48.967,4.144,
3.349,49.618,4.144,
5.966,48.130,4.144,
3.890,49.708,4.144,
3.239,49.309,4.144,
3.498,48.877,4.144,
3.247,49.104,4.144,
3.472,50.288,4.144,
3.591,48.703,4.144,
3.777,51.224,4.144,
3.705,51.053,4.144,
2.950,50.395,4.144,
3.000,50.964,4.144,
3.700,46.334,4.144,
3.157,51.833,4.144,
3.575,55.519,4.144,
3.955,53.527,4.144,
3.080,58.171,4.144,
3.780,49.837,4.144,
2.915,49.562,4.144,
3.946,48.647,4.144,
3.057,48.725,4.144,
3.702,49.019,4.144,
2.978,50.146,4.144,
3.696,48.283,4.144,
3.085,48.997,4.144,
3.417,50.008,4.144,
2.463,48.878,4.144,
3.096,49.574,4.144,
3.563,48.405,4.144,
3.168,48.424,4.144,
3.344,50.992,4.144,
3.122,50.264,4.144,
3.702,49.992,4.144,
3.336,50.058,4.144,
3.799,48.683,4.144,
3.083,49.364,4.144,
3.791,49.640,4.144,
3.255,50.132,4.144,
3.872,51.254,4.144,
2.836,51.932,4.144,
3.490,49.793,4.144,
2.635,50.409,4.144,
2.866,49.392,4.144,
3.356,48.600,4.144,
3.444,49.610,4.144,
3.696,48.140,4.144,
3.281,50.236,4.144,
3.294,50.133,4.144,
3.889,49.840,4.144,
3.549,48.494,4.144,
4.260,49.916,4.144,
3.464,48.086,4.144,
2.845,49.448,4.144,
3.702,48.912,4.144,
3.781,50.047,4.144,
3.318,50.721,4.144,
3.681,50.853,4.144,
2.967,50.614,4.144,
3.945,52.427,4.144,
3.547,50.849,4.144,
4.721,51.286,4.144,
3.668,49.262,4.144,
3.010,48.853,4.144,
3.222,49.666,4.144,
3.760,48.331,4.144,
2.975,49.212,4.144,
4.331,52.287,4.144,
3.768,50.941,4.144,
2.916,50.921,4.144,
3.806,47.483,4.144,
3.192,48.482,4.144,
3.107,48.990,4.144,
4.165,48.985,4.144,
3.110,48.147,4.144,
3.444,51.809,4.144,
3.268,47.493,4.144,
2.642,48.494,4.144,
