insert() runtime [ms],get() runtime [ms],memory usage [kB],
31.974,32.954,64.000,
27.927,32.857,64.000,
27.988,33.157,64.000,
28.569,33.391,64.000,
28.168,32.844,64.000,
27.424,33.028,64.000,
27.540,33.003,64.000,
28.555,32.987,64.000,
28.370,33.214,64.000,
27.613,32.907,64.000,
27.399,33.010,64.000,
28.922,32.987,64.000,
28.157,33.048,64.000,
27.972,32.974,64.000,
28.186,33.195,64.000,
27.783,33.188,64.000,
27.570,32.821,64.000,
27.477,33.121,64.000,
27.962,33.376,64.000,
28.030,33.029,64.000,
27.740,32.991,64.000,
28.150,32.910,64.000,
27.293,32.852,64.000,
27.433,33.200,64.000,
27.989,33.122,64.000,
27.538,32.919,64.000,
27.529,33.279,64.000,
27.395,35.163,64.000,
29.655,34.583,64.000,
28.959,32.938,64.000,
28.452,33.054,64.000,
33.629,33.219,64.000,
27.993,32.956,64.000,
27.942,33.301,64.000,
27.490,32.971,64.000,
29.779,33.116,64.000,
27.404,32.993,64.000,
28.534,33.015,64.000,
27.949,32.723,64.000,
27.651,32.971,64.000,
27.975,33.147,64.000,
27.297,32.922,64.000,
27.242,33.031,64.000,
28.764,32.910,64.000,
27.784,33.133,64.000,
27.788,32.911,64.000,
27.163,32.758,64.000,
27.614,33.133,64.000,
27.871,33.095,64.000,
28.069,32.988,64.000,
26.837,33.008,64.000,
28.435,33.272,64.000,
27.908,32.818,64.000,
28.320,33.140,64.000,
28.159,33.197,64.000,
28.585,33.442,64.000,
27.315,33.040,64.000,
27.680,33.100,64.000,
27.912,32.985,64.000,
28.268,33.234,64.000,
28.409,33.055,64.000,
27.366,32.996,64.000,
27.934,33.270,64.000,
28.205,33.035,64.000,
27.687,33.023,64.000,
27.412,33.561,64.000,
28.005,33.064,64.000,
28.113,32.909,64.000,
27.912,32.936,64.000,
28.350,33.335,64.000,
28.614,33.429,64.000,
27.991,33.125,64.000,
28.233,33.256,64.000,
27.472,33.074,64.000,
28.687,33.052,64.000,
28.283,33.312,64.000,
27.326,33.175,64.000,
27.833,33.262,64.000,
28.594,33.133,64.000,
27.390,32.879,64.000,
27.131,33.085,64.000,
27.111,33.107,64.000,
27.646,32.823,64.000,
27.196,33.457,64.000,
28.143,33.012,64.000,
28.068,32.952,64.000,
27.924,32.963,64.000,
27.540,33.129,64.000,
28.684,33.167,64.000,
27.836,32.795,64.000,
27.508,33.505,64.000,
28.488,32.831,64.000,
28.612,33.113,64.000,
26.142,33.245,64.000,
26.642,33.395,64.000,
27.870,32.881,64.000,
27.490,33.007,64.000,
28.442,33.333,64.000,
28.490,33.047,64.000,
28.088,32.955,64.000,
