insert() runtime [ms],get() runtime [ms],memory usage [kB],
19.371,0.223,32.776,
6.347,0.208,32.776,
6.689,0.234,32.776,
6.777,0.239,32.776,
6.751,0.241,32.776,
6.744,0.207,32.776,
6.338,0.219,32.776,
6.741,0.230,32.776,
6.787,0.234,32.776,
6.713,0.216,32.776,
6.797,0.221,32.776,
6.309,0.215,32.776,
6.706,0.226,32.776,
6.726,0.221,32.776,
6.714,0.214,32.776,
6.750,0.250,32.776,
6.348,0.200,32.776,
6.465,0.236,32.776,
6.622,0.241,32.776,
6.841,0.217,32.776,
6.624,0.229,32.776,
6.555,0.208,32.776,
6.373,0.196,32.776,
6.763,0.215,32.776,
6.746,0.219,32.776,
6.777,0.240,32.776,
6.502,0.256,32.776,
6.414,0.207,32.776,
6.636,0.211,32.776,
6.637,0.234,32.776,
6.721,0.225,32.776,
6.490,0.215,32.776,
6.564,0.197,32.776,
6.630,0.270,32.776,
7.046,0.222,32.776,
6.861,0.217,32.776,
6.528,0.201,32.776,
6.268,0.215,32.776,
6.952,0.263,32.776,
6.781,0.270,32.776,
7.059,0.207,32.776,
6.785,0.204,32.776,
6.674,0.253,32.776,
6.701,0.224,32.776,
6.508,0.224,32.776,
6.782,0.244,32.776,
7.160,0.234,32.776,
6.561,0.204,32.776,
6.510,0.241,32.776,
6.504,0.203,32.776,
6.755,0.216,32.776,
6.838,0.237,32.776,
6.657,0.204,32.776,
6.497,0.241,32.776,
6.808,0.208,32.776,
6.620,0.222,32.776,
6.731,0.234,32.776,
6.569,0.215,32.776,
6.293,0.208,32.776,
6.858,0.235,32.776,
6.680,0.226,32.776,
6.694,0.213,32.776,
6.627,0.240,32.776,
6.307,0.201,32.776,
6.636,0.249,32.776,
6.610,0.238,32.776,
6.918,0.234,32.776,
6.750,0.241,32.776,
6.496,0.222,32.776,
6.312,0.208,32.776,
6.834,0.217,32.776,
6.884,0.229,32.776,
6.602,0.233,32.776,
6.655,0.212,32.776,
6.256,0.191,32.776,
6.839,0.234,32.776,
6.658,0.215,32.776,
6.661,0.230,32.776,
6.795,0.209,32.776,
6.338,0.269,32.776,
6.585,0.220,32.776,
6.718,0.201,32.776,
6.832,0.216,32.776,
6.548,0.253,32.776,
6.540,0.258,32.776,
6.345,0.200,32.776,
7.013,0.256,32.776,
6.672,0.224,32.776,
6.383,0.221,32.776,
6.560,0.222,32.776,
6.318,0.222,32.776,
6.925,0.238,32.776,
6.749,0.224,32.776,
6.878,0.225,32.776,
6.631,0.208,32.776,
6.308,0.219,32.776,
6.720,0.226,32.776,
6.807,0.207,32.776,
6.726,0.207,32.776,
6.925,0.201,32.776,
