insert() runtime [ms],get() runtime [ms],memory usage [kB],
1.125,26.798,64.000,
0.829,26.599,64.000,
1.579,26.432,64.000,
0.903,26.435,64.000,
1.045,26.534,64.000,
0.974,26.441,64.000,
1.087,26.388,64.000,
0.876,26.743,64.000,
1.028,26.416,64.000,
1.003,26.380,64.000,
1.187,26.547,64.000,
0.874,26.538,64.000,
1.142,26.561,64.000,
1.058,26.500,64.000,
1.058,26.486,64.000,
0.990,26.413,64.000,
1.248,26.407,64.000,
0.936,26.665,64.000,
1.024,26.536,64.000,
0.975,26.470,64.000,
1.960,26.526,64.000,
0.852,26.482,64.000,
1.385,26.585,64.000,
0.927,26.381,64.000,
1.198,26.613,64.000,
1.130,26.657,64.000,
1.226,26.497,64.000,
1.224,26.660,64.000,
1.028,26.456,64.000,
1.102,26.490,64.000,
1.209,26.480,64.000,
0.866,26.781,64.000,
1.079,26.631,64.000,
0.947,26.619,64.000,
1.180,26.525,64.000,
0.854,26.544,64.000,
1.284,26.578,64.000,
0.964,26.506,64.000,
1.120,26.555,64.000,
0.877,26.742,64.000,
1.426,26.512,64.000,
0.938,26.553,64.000,
1.224,26.501,64.000,
0.997,26.530,64.000,
1.262,26.490,64.000,
0.920,26.620,64.000,
1.030,26.447,64.000,
0.847,26.445,64.000,
1.125,26.677,64.000,
0.812,26.597,64.000,
1.310,26.511,64.000,
1.244,26.492,64.000,
1.455,27.111,64.000,
0.870,26.782,64.000,
1.272,26.793,64.000,
0.939,26.683,64.000,
1.033,26.720,64.000,
0.866,26.488,64.000,
1.577,26.449,64.000,
0.838,26.743,64.000,
1.460,26.477,64.000,
1.151,26.390,64.000,
1.129,26.624,64.000,
0.832,26.557,64.000,
1.443,26.389,64.000,
1.276,26.576,64.000,
1.040,27.012,64.000,
1.120,26.958,64.000,
1.909,26.631,64.000,
0.947,26.684,64.000,
1.079,26.588,64.000,
1.158,26.399,64.000,
1.313,26.466,64.000,
0.896,26.575,64.000,
1.129,26.406,64.000,
1.144,26.456,64.000,
1.060,26.546,64.000,
0.968,26.452,64.000,
1.306,26.460,64.000,
1.043,26.430,64.000,
1.105,26.568,64.000,
1.065,26.357,64.000,
1.281,26.571,64.000,
0.824,26.752,64.000,
1.293,26.622,64.000,
0.952,26.437,64.000,
1.107,26.651,64.000,
0.838,26.536,64.000,
1.026,26.483,64.000,
1.281,26.612,64.000,
1.029,26.660,64.000,
1.209,26.416,64.000,
1.325,26.409,64.000,
0.851,26.555,64.000,
0.996,26.861,64.000,
0.922,26.501,64.000,
1.479,26.695,64.000,
0.863,26.525,64.000,
1.266,26.432,64.000,
1.036,26.420,64.000,
