insert() runtime [ms],get() runtime [ms],memory usage [kB],
91.393,2.346,95.856,
94.851,1.231,95.856,
96.030,1.205,95.856,
97.441,1.104,95.856,
97.447,1.122,95.856,
97.150,1.534,95.856,
94.041,1.944,95.856,
95.028,1.112,95.856,
97.696,1.341,95.856,
94.495,2.162,95.856,
97.005,1.034,95.856,
95.811,1.113,95.856,
94.049,1.236,95.856,
97.472,1.115,95.856,
95.243,1.088,95.856,
98.817,3.078,95.856,
96.232,1.168,95.856,
96.727,1.096,95.856,
94.614,1.117,95.856,
99.546,1.065,95.856,
96.466,1.162,95.856,
96.258,1.109,95.856,
92.727,2.039,95.856,
94.859,1.054,95.856,
94.857,1.096,95.856,
96.003,1.084,95.856,
94.334,2.037,95.856,
96.929,1.118,95.856,
93.840,1.992,95.856,
95.667,1.231,95.856,
92.116,2.161,95.856,
94.169,1.115,95.856,
96.113,1.212,95.856,
98.719,1.084,95.856,
92.996,2.388,95.856,
97.503,1.065,95.856,
96.045,1.063,95.856,
96.769,1.138,95.856,
93.806,2.294,95.856,
98.364,1.170,95.856,
95.724,2.021,95.856,
93.716,1.748,95.856,
96.475,1.214,95.856,
94.790,1.123,95.856,
96.831,1.129,95.856,
95.249,1.313,95.856,
95.583,1.148,95.856,
96.391,1.152,95.856,
96.812,1.123,95.856,
94.776,1.075,95.856,
95.760,2.104,95.856,
95.360,1.045,95.856,
96.879,1.215,95.856,
95.100,1.163,95.856,
95.772,1.939,95.856,
93.866,1.995,95.856,
98.198,1.516,95.856,
96.969,1.321,95.856,
92.522,1.094,95.856,
96.422,1.355,95.856,
95.691,1.110,95.856,
100.048,1.663,95.856,
94.754,1.989,95.856,
98.942,1.151,95.856,
96.895,1.105,95.856,
92.279,1.125,95.856,
97.183,1.170,95.856,
96.007,3.285,95.856,
93.753,1.107,95.856,
94.640,1.143,95.856,
98.381,1.120,95.856,
93.191,1.166,95.856,
95.331,1.153,95.856,
92.847,2.009,95.856,
95.887,1.069,95.856,
95.013,1.244,95.856,
95.888,1.092,95.856,
96.661,1.152,95.856,
95.990,2.025,95.856,
94.675,1.049,95.856,
99.398,1.114,95.856,
98.450,2.149,95.856,
92.040,1.088,95.856,
95.365,1.086,95.856,
91.979,1.986,95.856,
95.032,1.098,95.856,
94.162,1.253,95.856,
98.325,1.143,95.856,
95.439,2.305,95.856,
96.357,1.212,95.856,
95.615,2.494,95.856,
94.577,1.427,95.856,
94.165,1.144,95.856,
95.744,1.254,95.856,
93.921,1.087,95.856,
95.974,1.089,95.856,
96.415,1.202,95.856,
95.639,1.851,95.856,
93.793,1.148,95.856,
100.555,2.075,95.856,
