insert() runtime [ms],get() runtime [ms],memory usage [kB],
1.818,0.239,32.776,
1.604,0.231,32.776,
1.904,0.344,32.776,
2.011,0.239,32.776,
3.675,0.248,32.776,
1.958,0.240,32.776,
1.628,0.237,32.776,
1.772,0.338,32.776,
2.009,0.253,32.776,
2.705,0.253,32.776,
1.672,0.290,32.776,
1.845,0.260,32.776,
1.636,0.282,32.776,
1.843,0.267,32.776,
1.984,0.298,32.776,
1.646,0.264,32.776,
1.517,0.235,32.776,
1.506,0.245,32.776,
1.569,0.232,32.776,
1.536,0.408,32.776,
2.395,0.240,32.776,
1.687,0.252,32.776,
1.577,0.260,32.776,
1.566,0.229,32.776,
1.588,0.233,32.776,
1.679,0.234,32.776,
1.605,0.911,32.776,
2.126,0.250,32.776,
1.625,0.240,32.776,
1.552,0.247,32.776,
1.696,0.263,32.776,
1.709,0.303,32.776,
1.597,0.234,32.776,
1.728,0.241,32.776,
1.621,0.251,32.776,
1.736,0.236,32.776,
1.912,0.250,32.776,
1.795,0.235,32.776,
1.609,0.249,32.776,
2.212,0.244,32.776,
1.580,0.277,32.776,
1.719,0.243,32.776,
1.690,0.236,32.776,
1.588,0.252,32.776,
1.604,0.257,32.776,
1.754,0.278,32.776,
2.186,0.229,32.776,
1.559,0.230,32.776,
1.511,0.232,32.776,
1.524,0.235,32.776,
1.530,0.235,32.776,
1.561,0.238,32.776,
1.925,0.292,32.776,
1.731,0.251,32.776,
1.648,0.232,32.776,
1.659,0.241,32.776,
1.676,0.269,32.776,
1.615,0.252,32.776,
1.613,0.303,32.776,
1.569,0.255,32.776,
1.824,0.239,32.776,
1.607,0.290,32.776,
1.548,0.232,32.776,
1.530,0.233,32.776,
1.921,0.272,32.776,
2.701,0.275,32.776,
1.589,0.237,32.776,
1.577,0.239,32.776,
1.566,0.251,32.776,
1.561,0.236,32.776,
1.530,0.234,32.776,
1.798,0.386,32.776,
2.122,0.245,32.776,
1.658,0.252,32.776,
1.684,0.256,32.776,
1.679,0.250,32.776,
1.563,0.261,32.776,
1.653,0.250,32.776,
1.540,0.252,32.776,
1.516,0.236,32.776,
1.521,0.263,32.776,
1.618,0.250,32.776,
1.685,0.243,32.776,
1.611,0.253,32.776,
1.750,0.238,32.776,
2.511,0.261,32.776,
1.613,0.275,32.776,
1.541,0.234,32.776,
1.590,0.235,32.776,
1.527,0.232,32.776,
1.546,0.228,32.776,
1.700,0.251,32.776,
1.858,0.234,32.776,
2.010,0.268,32.776,
1.676,0.274,32.776,
1.592,0.245,32.776,
1.572,0.261,32.776,
1.611,0.303,32.776,
1.655,0.249,32.776,
1.650,0.270,32.776,
