insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.896,43.124,64.000,
0.443,40.548,64.000,
1.391,39.762,64.000,
0.440,41.409,64.000,
1.946,40.266,64.000,
1.033,39.758,64.000,
0.906,40.217,64.000,
0.457,40.573,64.000,
0.679,42.465,64.000,
0.555,38.368,64.000,
0.849,39.033,64.000,
1.251,40.150,64.000,
1.649,41.173,64.000,
2.169,40.571,64.000,
0.870,38.564,64.000,
0.913,41.197,64.000,
0.758,43.519,64.000,
0.576,40.111,64.000,
0.649,42.469,64.000,
0.442,36.159,64.000,
0.741,41.050,64.000,
0.792,39.607,64.000,
0.980,42.195,64.000,
1.169,38.401,64.000,
1.193,40.532,64.000,
0.779,38.773,64.000,
0.621,38.325,64.000,
0.437,37.556,64.000,
1.296,41.709,64.000,
1.025,38.349,64.000,
0.592,36.374,64.000,
1.593,39.074,64.000,
0.836,37.769,64.000,
0.963,39.068,64.000,
1.370,38.107,64.000,
0.473,35.921,64.000,
2.142,40.034,64.000,
0.931,38.866,64.000,
0.620,40.012,64.000,
0.563,38.376,64.000,
0.659,40.729,64.000,
0.451,37.104,64.000,
1.220,40.528,64.000,
0.710,39.566,64.000,
1.303,40.596,64.000,
0.949,38.086,64.000,
0.552,44.429,64.000,
0.627,39.416,64.000,
1.103,37.503,64.000,
0.492,39.698,64.000,
1.184,41.420,64.000,
0.441,39.085,64.000,
0.947,39.445,64.000,
0.806,39.130,64.000,
3.097,39.454,64.000,
0.720,37.179,64.000,
0.643,40.649,64.000,
0.416,37.059,64.000,
0.625,39.917,64.000,
0.639,38.590,64.000,
0.564,39.614,64.000,
0.432,37.987,64.000,
0.568,38.839,64.000,
1.122,39.834,64.000,
0.645,41.591,64.000,
1.500,37.318,64.000,
1.019,39.305,64.000,
1.045,41.092,64.000,
1.501,42.152,64.000,
0.780,38.181,64.000,
0.690,38.477,64.000,
0.477,39.752,64.000,
0.597,39.520,64.000,
1.920,38.691,64.000,
1.040,40.226,64.000,
0.498,39.078,64.000,
0.649,39.902,64.000,
1.731,39.820,64.000,
1.206,37.081,64.000,
0.563,38.051,64.000,
0.578,38.834,64.000,
0.667,39.394,64.000,
0.792,36.953,64.000,
0.872,40.548,64.000,
0.608,38.070,64.000,
0.454,37.107,64.000,
0.697,40.943,64.000,
0.443,36.012,64.000,
0.671,42.764,64.000,
0.885,39.179,64.000,
0.644,37.566,64.000,
0.545,39.514,64.000,
0.587,38.768,64.000,
0.746,38.270,64.000,
1.794,39.255,64.000,
1.046,38.393,64.000,
1.245,42.974,64.000,
0.433,38.440,64.000,
0.831,38.893,64.000,
0.491,39.037,64.000,
