insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.440,0.265,32.776,
0.446,0.223,32.776,
0.419,0.223,32.776,
0.413,0.234,32.776,
1.176,0.234,32.776,
0.416,0.238,32.776,
2.019,0.214,32.776,
0.897,0.214,32.776,
0.464,0.214,32.776,
0.457,0.216,32.776,
0.512,0.239,32.776,
0.954,0.207,32.776,
0.556,0.284,32.776,
0.633,0.242,32.776,
0.392,0.263,32.776,
0.673,0.295,32.776,
0.600,0.219,32.776,
0.751,0.256,32.776,
0.539,0.315,32.776,
0.948,0.235,32.776,
0.985,0.246,32.776,
1.188,0.217,32.776,
0.439,0.272,32.776,
0.428,0.235,32.776,
0.409,0.247,32.776,
0.406,0.250,32.776,
0.512,0.273,32.776,
1.808,0.243,32.776,
0.445,0.216,32.776,
1.287,0.209,32.776,
0.964,0.225,32.776,
0.748,0.220,32.776,
0.657,0.222,32.776,
0.384,0.195,32.776,
0.430,0.243,32.776,
0.414,0.193,32.776,
0.445,0.255,32.776,
0.385,0.237,32.776,
0.610,0.213,32.776,
1.049,0.219,32.776,
1.530,0.226,32.776,
1.193,0.225,32.776,
0.739,0.238,32.776,
0.446,0.207,32.776,
0.435,0.255,32.776,
0.504,0.246,32.776,
0.555,0.268,32.776,
0.629,0.235,32.776,
0.670,0.265,32.776,
0.695,0.226,32.776,
0.644,0.266,32.776,
0.670,0.208,32.776,
1.008,0.236,32.776,
0.485,0.285,32.776,
0.458,0.202,32.776,
0.428,0.271,32.776,
0.472,0.247,32.776,
0.466,0.234,32.776,
0.417,0.256,32.776,
0.461,0.252,32.776,
0.737,0.246,32.776,
1.090,0.229,32.776,
2.055,0.233,32.776,
1.679,0.291,32.776,
0.680,0.211,32.776,
0.906,0.236,32.776,
0.867,0.220,32.776,
0.725,0.258,32.776,
0.462,0.232,32.776,
0.532,0.248,32.776,
0.442,0.248,32.776,
0.430,0.229,32.776,
0.524,0.263,32.776,
2.019,0.219,32.776,
0.729,0.218,32.776,
0.659,0.224,32.776,
0.911,0.257,32.776,
0.507,0.230,32.776,
0.407,0.221,32.776,
0.429,0.234,32.776,
0.507,0.245,32.776,
0.575,0.244,32.776,
0.591,0.270,32.776,
1.357,0.321,32.776,
0.775,0.248,32.776,
1.197,0.338,32.776,
1.334,0.261,32.776,
1.609,0.321,32.776,
0.990,0.242,32.776,
0.449,0.266,32.776,
0.456,0.233,32.776,
1.679,0.307,32.776,
0.489,0.221,32.776,
0.453,0.279,32.776,
0.438,0.232,32.776,
0.437,0.228,32.776,
0.407,0.277,32.776,
0.820,0.235,32.776,
0.925,0.231,32.776,
0.887,0.227,32.776,
