insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.833,0.011,0.912,
1.103,0.019,0.912,
1.109,0.007,0.912,
0.819,0.009,0.912,
0.753,0.006,0.912,
0.759,0.010,0.912,
0.800,0.006,0.912,
0.706,0.004,0.912,
0.727,0.003,0.912,
0.719,0.004,0.912,
0.724,0.016,0.912,
0.759,0.003,0.912,
0.767,0.006,0.912,
0.771,0.005,0.912,
0.754,0.006,0.912,
0.763,0.005,0.912,
0.796,0.005,0.912,
0.754,0.005,0.912,
0.746,0.004,0.912,
0.705,0.005,0.912,
0.743,0.006,0.912,
0.723,0.016,0.912,
0.725,0.006,0.912,
0.725,0.006,0.912,
0.732,0.004,0.912,
0.765,0.004,0.912,
0.715,0.005,0.912,
0.726,0.003,0.912,
0.731,0.004,0.912,
0.814,0.008,0.912,
0.723,0.006,0.912,
0.750,0.008,0.912,
0.742,0.007,0.912,
0.747,0.006,0.912,
0.758,0.007,0.912,
0.714,0.005,0.912,
0.850,0.012,0.912,
1.326,0.036,0.912,
0.734,0.007,0.912,
0.735,0.005,0.912,
0.720,0.005,0.912,
0.736,0.007,0.912,
0.724,0.006,0.912,
0.720,0.007,0.912,
0.737,0.008,0.912,
0.759,0.011,0.912,
0.811,0.012,0.912,
0.736,0.005,0.912,
0.731,0.003,0.912,
0.737,0.003,0.912,
0.772,0.004,0.912,
0.765,0.004,0.912,
0.734,0.008,0.912,
0.733,0.009,0.912,
0.734,0.004,0.912,
0.909,0.020,0.912,
0.941,0.012,0.912,
0.727,0.004,0.912,
0.715,0.004,0.912,
0.734,0.007,0.912,
0.888,0.004,0.912,
0.721,0.003,0.912,
0.718,0.003,0.912,
0.715,0.004,0.912,
0.735,0.003,0.912,
0.706,0.005,0.912,
0.706,0.004,0.912,
0.714,0.003,0.912,
0.716,0.003,0.912,
0.730,0.005,0.912,
0.724,0.004,0.912,
0.844,0.003,0.912,
0.712,0.010,0.912,
0.773,0.006,0.912,
1.323,0.038,0.912,
1.101,0.007,0.912,
0.742,0.013,0.912,
0.737,0.009,0.912,
0.765,0.008,0.912,
0.768,0.009,0.912,
0.734,0.004,0.912,
0.781,0.005,0.912,
0.777,0.007,0.912,
0.745,0.007,0.912,
0.721,0.006,0.912,
0.721,0.006,0.912,
0.757,0.008,0.912,
1.238,0.007,0.912,
0.732,0.027,0.912,
1.238,0.010,0.912,
0.874,0.038,0.912,
1.222,0.032,0.912,
0.903,0.005,0.912,
0.718,0.005,0.912,
0.717,0.004,0.912,
0.726,0.006,0.912,
0.777,0.006,0.912,
0.811,0.013,0.912,
0.746,0.011,0.912,
0.765,0.012,0.912,
0.747,0.010,0.912,
0.728,0.008,0.912,
0.710,0.003,0.912,
0.706,0.004,0.912,
0.716,0.005,0.912,
0.715,0.003,0.912,
0.740,0.005,0.912,
0.707,0.003,0.912,
1.007,0.026,0.912,
1.026,0.006,0.912,
0.764,0.003,0.912,
0.720,0.004,0.912,
0.719,0.004,0.912,
0.706,0.005,0.912,
0.704,0.004,0.912,
0.753,0.006,0.912,
0.723,0.003,0.912,
0.729,0.005,0.912,
0.737,0.004,0.912,
0.743,0.005,0.912,
0.768,0.016,0.912,
0.747,0.005,0.912,
0.760,0.009,0.912,
0.745,0.004,0.912,
0.799,0.005,0.912,
0.751,0.005,0.912,
0.743,0.005,0.912,
0.796,0.006,0.912,
0.915,0.080,0.912,
0.995,0.008,0.912,
0.838,0.005,0.912,
0.759,0.006,0.912,
0.727,0.008,0.912,
0.758,0.006,0.912,
0.763,0.004,0.912,
0.756,0.006,0.912,
