insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.092,0.365,4.144,
0.045,0.161,4.144,
0.118,0.162,4.144,
0.094,0.166,4.144,
0.115,0.152,4.144,
0.044,0.151,4.144,
0.106,0.169,4.144,
0.043,0.147,4.144,
0.116,0.168,4.144,
0.146,0.159,4.144,
0.026,0.147,4.144,
0.027,0.148,4.144,
0.036,0.148,4.144,
0.041,0.740,4.144,
0.028,0.150,4.144,
0.025,0.165,4.144,
0.026,0.155,4.144,
0.028,0.165,4.144,
0.027,0.151,4.144,
0.026,0.151,4.144,
0.026,0.147,4.144,
0.027,0.161,4.144,
0.027,0.149,4.144,
0.027,0.161,4.144,
0.028,0.148,4.144,
0.027,0.161,4.144,
0.027,0.152,4.144,
0.026,0.169,4.144,
0.027,0.151,4.144,
0.028,0.164,4.144,
0.028,0.153,4.144,
0.027,0.165,4.144,
0.028,0.148,4.144,
0.029,0.180,4.144,
0.029,0.147,4.144,
0.028,0.187,4.144,
0.027,0.149,4.144,
0.027,0.161,4.144,
0.027,0.148,4.144,
0.027,0.164,4.144,
0.028,0.151,4.144,
0.027,0.163,4.144,
0.026,0.147,4.144,
0.027,0.148,4.144,
0.027,0.148,4.144,
0.027,0.149,4.144,
0.027,0.151,4.144,
0.028,0.296,4.144,
0.029,0.148,4.144,
0.029,0.163,4.144,
0.027,0.151,4.144,
0.027,0.159,4.144,
0.325,7.961,4.144,
0.027,0.148,4.144,
0.028,0.173,4.144,
0.026,0.149,4.144,
0.026,0.153,4.144,
0.027,0.147,4.144,
0.027,0.161,4.144,
0.027,0.149,4.144,
0.026,0.149,4.144,
0.028,0.149,4.144,
0.027,0.159,4.144,
0.025,0.150,4.144,
0.026,0.150,4.144,
0.027,0.149,4.144,
0.028,0.158,4.144,
0.028,0.152,4.144,
0.026,0.147,4.144,
0.027,0.150,4.144,
0.027,0.145,4.144,
0.028,0.146,4.144,
0.029,0.148,4.144,
0.029,0.149,4.144,
0.027,0.148,4.144,
0.040,0.150,4.144,
0.026,0.150,4.144,
0.027,0.149,4.144,
0.029,0.146,4.144,
0.029,0.160,4.144,
0.026,0.148,4.144,
0.028,0.152,4.144,
0.028,0.147,4.144,
0.027,0.161,4.144,
0.027,0.168,4.144,
0.027,0.151,4.144,
0.028,0.150,4.144,
0.027,0.163,4.144,
0.028,0.150,4.144,
0.028,0.162,4.144,
0.027,0.151,4.144,
0.028,0.165,4.144,
0.028,0.148,4.144,
0.028,0.152,4.144,
0.029,0.152,4.144,
0.027,0.163,4.144,
0.026,0.150,4.144,
0.027,0.149,4.144,
0.030,0.153,4.144,
0.027,0.166,4.144,
0.029,0.165,4.144,
0.025,0.150,4.144,
0.029,0.149,4.144,
0.025,0.164,4.144,
0.027,0.150,4.144,
0.028,0.149,4.144,
0.026,0.148,4.144,
0.027,0.166,4.144,
0.025,0.150,4.144,
0.027,0.152,4.144,
0.026,0.149,4.144,
0.026,0.148,4.144,
0.026,0.151,4.144,
0.027,0.147,4.144,
0.026,0.148,4.144,
0.026,0.149,4.144,
0.025,0.150,4.144,
0.027,0.175,4.144,
0.026,0.148,4.144,
0.026,0.149,4.144,
0.028,0.182,4.144,
0.029,0.145,4.144,
0.028,0.148,4.144,
0.027,0.150,4.144,
0.027,0.149,4.144,
0.027,0.150,4.144,
0.028,0.151,4.144,
0.029,0.163,4.144,
0.029,0.254,4.144,
0.031,0.232,4.144,
0.031,0.332,4.144,
0.027,0.150,4.144,
0.028,0.158,4.144,
0.028,0.151,4.144,
0.026,0.163,4.144,
0.028,0.149,4.144,
0.026,0.149,4.144,
0.027,0.148,4.144,
0.029,0.147,4.144,
0.027,0.151,4.144,
0.027,0.146,4.144,
0.027,0.149,4.144,
0.027,0.149,4.144,
0.027,0.162,4.144,
0.026,0.148,4.144,
0.027,0.149,4.144,
0.029,0.741,4.144,
0.026,0.152,4.144,
0.028,0.149,4.144,
0.026,0.153,4.144,
0.027,0.163,4.144,
0.027,0.149,4.144,
0.026,0.150,4.144,
0.027,0.149,4.144,
0.028,0.149,4.144,
0.039,0.149,4.144,
0.028,0.149,4.144,
0.028,0.154,4.144,
0.026,0.146,4.144,
0.029,0.161,4.144,
0.028,0.179,4.144,
0.026,0.154,4.144,
0.027,0.169,4.144,
0.026,0.148,4.144,
0.026,0.159,4.144,
0.026,0.149,4.144,
0.027,0.150,4.144,
0.028,0.150,4.144,
0.027,0.158,4.144,
0.028,0.148,4.144,
0.026,0.149,4.144,
0.029,0.145,4.144,
0.029,0.148,4.144,
0.027,0.163,4.144,
0.025,0.148,4.144,
0.028,0.150,4.144,
0.028,0.149,4.144,
0.026,0.147,4.144,
0.037,0.149,4.144,
0.028,0.146,4.144,
0.026,0.155,4.144,
0.026,0.206,4.144,
0.029,0.181,4.144,
0.026,0.181,4.144,
0.026,0.179,4.144,
0.028,0.194,4.144,
0.028,0.179,4.144,
0.027,0.179,4.144,
0.025,0.192,4.144,
0.027,0.178,4.144,
0.026,0.181,4.144,
0.027,0.182,4.144,
0.028,0.200,4.144,
0.026,0.193,4.144,
0.028,0.200,4.144,
0.029,0.271,4.144,
0.030,0.192,4.144,
0.030,0.182,4.144,
0.038,0.179,4.144,
0.026,0.176,4.144,
0.027,0.179,4.144,
0.028,0.190,4.144,
0.026,0.178,4.144,
0.025,0.178,4.144,
0.026,0.177,4.144,
0.028,0.180,4.144,
0.028,0.179,4.144,
0.027,0.178,4.144,
0.029,0.196,4.144,
0.029,0.181,4.144,
0.027,0.179,4.144,
0.099,0.191,4.144,
0.026,0.188,4.144,
0.027,0.180,4.144,
0.027,0.183,4.144,
0.028,0.194,4.144,
0.058,0.178,4.144,
0.028,0.182,4.144,
0.026,0.180,4.144,
0.070,0.192,4.144,
0.027,0.179,4.144,
0.026,0.183,4.144,
0.027,0.181,4.144,
0.027,0.153,4.144,
0.027,0.182,4.144,
0.028,0.214,4.144,
