insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.005,0.005,0.640,
0.005,0.004,0.640,
0.005,0.004,0.640,
0.003,0.006,0.640,
0.005,0.006,0.640,
0.004,0.007,0.640,
0.003,0.004,0.640,
0.002,0.004,0.640,
0.005,0.004,0.640,
0.003,0.004,0.640,
0.004,0.005,0.640,
0.004,0.006,0.640,
0.004,0.005,0.640,
0.004,0.006,0.640,
0.005,0.003,0.640,
0.004,0.005,0.640,
0.006,0.006,0.640,
0.004,0.003,0.640,
0.005,0.005,0.640,
0.004,0.005,0.640,
0.006,0.006,0.640,
0.005,0.006,0.640,
0.004,0.005,0.640,
0.003,0.006,0.640,
0.005,0.003,0.640,
0.006,0.006,0.640,
0.004,0.006,0.640,
0.002,0.006,0.640,
0.004,0.007,0.640,
0.004,0.006,0.640,
0.005,0.006,0.640,
0.003,0.004,0.640,
0.005,0.006,0.640,
0.004,0.006,0.640,
0.006,0.005,0.640,
0.004,0.007,0.640,
0.005,0.004,0.640,
0.002,0.006,0.640,
0.003,0.005,0.640,
0.003,0.004,0.640,
0.005,0.005,0.640,
0.003,0.007,0.640,
0.025,0.025,0.640,
0.005,0.005,0.640,
0.004,0.007,0.640,
0.005,0.004,0.640,
0.005,0.005,0.640,
0.004,0.005,0.640,
0.004,0.005,0.640,
0.004,0.007,0.640,
0.005,0.006,0.640,
0.005,0.007,0.640,
0.004,0.005,0.640,
0.004,0.006,0.640,
0.003,0.004,0.640,
0.004,0.003,0.640,
0.005,0.004,0.640,
0.004,0.006,0.640,
0.006,0.005,0.640,
0.003,0.005,0.640,
0.004,0.006,0.640,
0.003,0.004,0.640,
0.006,0.004,0.640,
0.005,0.006,0.640,
0.004,0.004,0.640,
0.004,0.006,0.640,
0.006,0.006,0.640,
0.003,0.004,0.640,
0.005,0.005,0.640,
0.004,0.007,0.640,
0.004,0.005,0.640,
0.005,0.004,0.640,
0.006,0.004,0.640,
0.004,0.007,0.640,
0.004,0.005,0.640,
0.005,0.005,0.640,
0.004,0.003,0.640,
0.005,0.007,0.640,
0.006,0.006,0.640,
0.006,0.005,0.640,
0.006,0.004,0.640,
0.005,0.006,0.640,
0.005,0.005,0.640,
0.004,0.003,0.640,
0.006,0.004,0.640,
0.004,0.006,0.640,
0.004,0.003,0.640,
0.003,0.005,0.640,
0.005,0.006,0.640,
0.003,0.005,0.640,
0.004,0.005,0.640,
0.003,0.006,0.640,
0.005,0.005,0.640,
0.003,0.006,0.640,
0.005,0.006,0.640,
0.004,0.006,0.640,
0.004,0.003,0.640,
0.012,0.005,0.640,
0.003,0.006,0.640,
0.004,0.005,0.640,
0.005,0.006,0.640,
0.004,0.005,0.640,
0.005,0.006,0.640,
0.003,0.007,0.640,
0.005,0.006,0.640,
0.003,0.005,0.640,
0.006,0.004,0.640,
0.004,0.006,0.640,
0.006,0.006,0.640,
0.003,0.005,0.640,
0.005,0.004,0.640,
0.004,0.006,0.640,
0.005,0.004,0.640,
0.006,0.007,0.640,
0.006,0.007,0.640,
0.004,0.004,0.640,
0.004,0.005,0.640,
0.003,0.006,0.640,
0.005,0.005,0.640,
0.004,0.007,0.640,
0.006,0.005,0.640,
0.005,0.004,0.640,
0.004,0.003,0.640,
0.006,0.006,0.640,
0.004,0.007,0.640,
0.003,0.006,0.640,
0.006,0.004,0.640,
0.004,0.006,0.640,
0.005,0.006,0.640,
0.003,0.007,0.640,
0.008,0.005,0.640,
0.005,0.016,0.640,
0.005,0.006,0.640,
0.004,0.006,0.640,
0.005,0.007,0.640,
0.005,0.005,0.640,
0.004,0.005,0.640,
0.003,0.020,0.640,
0.005,0.006,0.640,
0.003,0.003,0.640,
0.004,0.004,0.640,
0.004,0.004,0.640,
0.004,0.002,0.640,
0.003,0.003,0.640,
0.006,0.007,0.640,
0.003,0.007,0.640,
0.005,0.007,0.640,
0.025,0.020,0.640,
0.006,0.005,0.640,
0.006,0.007,0.640,
0.005,0.006,0.640,
0.005,0.027,0.640,
0.021,0.020,0.640,
0.004,0.006,0.640,
0.006,0.006,0.640,
0.005,0.006,0.640,
0.005,0.006,0.640,
0.004,0.006,0.640,
0.005,0.003,0.640,
0.004,0.006,0.640,
0.026,0.035,0.640,
0.005,0.005,0.640,
0.005,0.006,0.640,
0.005,0.004,0.640,
0.006,0.006,0.640,
0.004,0.006,0.640,
0.004,0.006,0.640,
0.004,0.005,0.640,
0.005,0.004,0.640,
0.003,0.003,0.640,
0.003,0.007,0.640,
0.004,0.004,0.640,
0.005,0.004,0.640,
0.002,0.005,0.640,
0.005,0.004,0.640,
0.004,0.004,0.640,
0.006,0.005,0.640,
0.006,0.005,0.640,
0.006,0.005,0.640,
0.003,0.007,0.640,
0.007,0.003,0.640,
0.005,0.005,0.640,
0.006,0.004,0.640,
0.005,0.003,0.640,
0.001,0.005,0.640,
0.003,0.004,0.640,
0.005,0.004,0.640,
0.002,0.007,0.640,
0.007,0.005,0.640,
0.004,0.004,0.640,
0.000,0.005,0.640,
0.005,0.003,0.640,
0.006,0.006,0.640,
0.003,0.007,0.640,
0.004,0.006,0.640,
0.006,0.005,0.640,
0.004,0.005,0.640,
0.003,0.007,0.640,
0.018,0.004,0.640,
0.005,0.003,0.640,
0.007,0.005,0.640,
0.004,0.007,0.640,
0.005,0.007,0.640,
0.005,0.023,0.640,
0.004,0.007,0.640,
0.003,0.005,0.640,
0.005,0.006,0.640,
0.002,0.006,0.640,
0.005,0.005,0.640,
0.003,0.004,0.640,
0.000,0.003,0.640,
0.001,0.005,0.640,
0.007,0.006,0.640,
0.003,0.007,0.640,
0.006,0.006,0.640,
0.005,0.006,0.640,
0.000,0.003,0.640,
0.001,0.006,0.640,
0.007,0.003,0.640,
0.005,0.006,0.640,
