insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.739,0.413,6.400,
1.214,0.436,6.400,
0.635,0.408,6.400,
0.618,0.407,6.400,
0.621,0.456,6.400,
0.645,0.407,6.400,
0.613,0.420,6.400,
0.626,0.482,6.400,
0.646,8.975,6.400,
0.664,0.445,6.400,
0.572,0.443,6.400,
0.625,0.425,6.400,
0.564,0.532,6.400,
0.632,0.503,6.400,
0.858,0.519,6.400,
0.716,0.480,6.400,
0.619,0.391,6.400,
0.706,0.520,6.400,
0.662,0.518,6.400,
0.597,0.482,6.400,
0.623,0.445,6.400,
0.569,0.467,6.400,
0.615,0.417,6.400,
0.631,0.520,6.400,
0.623,0.435,6.400,
0.638,0.499,6.400,
0.721,0.460,6.400,
0.609,0.464,6.400,
0.572,0.553,6.400,
0.894,1.026,6.400,
0.767,0.534,6.400,
0.585,0.419,6.400,
0.582,0.411,6.400,
0.599,0.403,6.400,
0.577,0.488,6.400,
0.625,0.477,6.400,
0.602,0.497,6.400,
0.633,0.434,6.400,
0.620,0.490,6.400,
0.797,0.408,6.400,
0.804,0.750,6.400,
0.600,0.524,6.400,
0.623,0.447,6.400,
0.570,0.516,6.400,
0.685,0.469,6.400,
0.634,0.456,6.400,
0.631,0.509,6.400,
0.689,0.421,6.400,
0.642,0.488,6.400,
0.629,0.633,6.400,
0.638,0.474,6.400,
0.738,0.584,6.400,
0.756,0.510,6.400,
0.663,0.510,6.400,
0.672,0.419,6.400,
0.696,0.470,6.400,
0.679,0.393,6.400,
0.588,0.441,6.400,
0.619,0.397,6.400,
0.592,0.401,6.400,
0.699,0.428,6.400,
0.740,0.750,6.400,
0.729,0.413,6.400,
0.999,0.495,6.400,
0.715,0.490,6.400,
0.576,0.481,6.400,
0.638,0.435,6.400,
0.590,0.536,6.400,
0.618,0.439,6.400,
0.572,0.489,6.400,
0.674,0.444,6.400,
0.822,0.439,6.400,
0.843,0.618,6.400,
0.688,0.469,6.400,
0.645,0.456,6.400,
0.606,0.417,6.400,
0.679,0.388,6.400,
0.629,0.430,6.400,
0.583,0.486,6.400,
0.650,0.403,6.400,
0.834,0.454,6.400,
0.664,0.416,6.400,
0.834,0.467,6.400,
0.676,0.582,6.400,
0.820,0.500,6.400,
0.690,0.393,6.400,
0.652,0.439,6.400,
0.584,0.452,6.400,
0.693,0.402,6.400,
0.573,0.414,6.400,
0.602,0.395,6.400,
0.694,0.494,6.400,
0.696,0.445,6.400,
0.917,0.474,6.400,
0.655,0.438,6.400,
0.566,0.532,6.400,
0.626,0.426,6.400,
0.609,0.416,6.400,
0.620,0.411,6.400,
0.614,0.430,6.400,
0.602,0.409,6.400,
0.788,0.408,6.400,
0.669,0.423,6.400,
0.609,0.515,6.400,
0.592,0.634,6.400,
0.894,0.545,6.400,
1.003,0.856,6.400,
0.718,0.427,6.400,
0.675,0.470,6.400,
0.666,0.422,6.400,
0.590,0.441,6.400,
0.741,0.470,6.400,
0.595,0.403,6.400,
0.612,0.408,6.400,
0.893,0.629,6.400,
1.012,0.475,6.400,
0.675,0.575,6.400,
1.171,0.682,6.400,
0.649,0.402,6.400,
0.664,0.404,6.400,
0.595,0.401,6.400,
0.587,0.390,6.400,
1.654,0.411,6.400,
0.598,0.407,6.400,
0.671,0.443,6.400,
0.605,0.488,6.400,
0.672,0.422,6.400,
0.875,0.540,6.400,
0.761,0.476,6.400,
0.642,0.409,6.400,
0.607,0.425,6.400,
0.680,0.425,6.400,
0.623,0.406,6.400,
0.613,0.441,6.400,
0.639,0.442,6.400,
0.642,0.442,6.400,
0.601,0.414,6.400,
0.736,0.462,6.400,
0.617,0.408,6.400,
0.600,0.410,6.400,
0.606,0.418,6.400,
0.603,0.430,6.400,
0.635,0.417,6.400,
0.610,0.399,6.400,
0.730,0.418,6.400,
0.615,0.509,6.400,
0.645,0.455,6.400,
0.597,0.410,6.400,
0.674,0.437,6.400,
0.642,0.450,6.400,
0.629,0.406,6.400,
0.607,0.415,6.400,
0.762,0.410,6.400,
0.608,0.408,6.400,
0.615,0.408,6.400,
0.656,0.406,6.400,
0.618,0.436,6.400,
0.621,0.428,6.400,
0.635,0.412,6.400,
0.603,0.462,6.400,
0.630,0.407,6.400,
1.071,0.421,6.400,
0.623,0.449,6.400,
0.665,0.446,6.400,
0.635,0.421,6.400,
0.597,0.407,6.400,
0.621,0.408,6.400,
0.600,0.401,6.400,
0.590,0.416,6.400,
0.617,0.401,6.400,
0.591,0.422,6.400,
0.592,0.404,6.400,
0.637,0.423,6.400,
1.848,0.476,6.400,
0.806,0.512,6.400,
0.704,0.435,6.400,
1.256,0.488,6.400,
0.860,0.975,6.400,
0.653,0.431,6.400,
0.639,0.434,6.400,
0.626,0.424,6.400,
0.656,0.433,6.400,
0.658,0.470,6.400,
0.649,0.494,6.400,
0.632,0.441,6.400,
0.625,0.421,6.400,
0.618,0.455,6.400,
0.660,0.489,6.400,
0.729,0.676,6.400,
0.831,0.457,6.400,
0.625,0.405,6.400,
0.663,0.473,6.400,
0.671,0.504,6.400,
0.668,0.439,6.400,
0.666,0.447,6.400,
0.629,0.424,6.400,
0.622,0.413,6.400,
0.616,0.431,6.400,
0.648,0.423,6.400,
0.657,0.451,6.400,
0.957,0.950,6.400,
0.737,0.411,6.400,
0.610,0.403,6.400,
0.616,0.403,6.400,
0.598,0.439,6.400,
0.614,0.405,6.400,
0.639,0.412,6.400,
0.607,0.420,6.400,
0.618,0.403,6.400,
0.624,0.427,6.400,
0.605,1.013,6.400,
0.766,0.531,6.400,
0.637,0.435,6.400,
0.641,0.410,6.400,
0.671,0.504,6.400,
0.721,0.559,6.400,
0.592,0.418,6.400,
0.646,0.459,6.400,
0.712,0.446,6.400,
0.664,0.460,6.400,
0.629,0.475,6.400,
0.698,0.478,6.400,
0.600,0.406,6.400,
0.604,0.392,6.400,
0.589,0.418,6.400,
0.604,0.405,6.400,
0.602,0.398,6.400,
0.594,0.402,6.400,
0.659,0.409,6.400,
0.605,0.406,6.400,
0.607,0.421,6.400,
0.793,0.398,6.400,
0.578,0.440,6.400,
0.650,0.439,6.400,
1.219,0.722,6.400,
0.619,0.416,6.400,
0.628,0.414,6.400,
0.596,0.415,6.400,
0.642,0.419,6.400,
0.604,0.418,6.400,
0.643,0.415,6.400,
0.609,0.417,6.400,
0.684,0.473,6.400,
0.742,0.504,6.400,
0.713,0.500,6.400,
0.833,0.510,6.400,
0.659,0.473,6.400,
0.643,0.484,6.400,
0.641,0.453,6.400,
0.609,0.428,6.400,
0.611,0.472,6.400,
0.618,0.410,6.400,
0.613,0.408,6.400,
0.592,0.410,6.400,
0.617,0.407,6.400,
0.626,0.430,6.400,
0.876,0.917,6.400,
0.650,0.406,6.400,
0.607,0.417,6.400,
0.612,0.429,6.400,
0.642,0.420,6.400,
0.607,0.417,6.400,
0.626,0.409,6.400,
0.608,0.411,6.400,
0.605,0.407,6.400,
0.610,0.471,6.400,
0.607,0.424,6.400,
0.622,0.418,6.400,
0.631,0.481,6.400,
0.767,0.493,6.400,
0.612,0.439,6.400,
0.641,0.421,6.400,
0.621,0.438,6.400,
