insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.045,0.025,4.104,
0.040,0.022,4.104,
0.097,0.023,4.104,
0.044,0.023,4.104,
0.098,0.021,4.104,
0.039,0.023,4.104,
0.094,0.025,4.104,
0.051,0.024,4.104,
0.096,0.025,4.104,
0.042,0.024,4.104,
0.095,0.023,4.104,
0.047,0.026,4.104,
0.099,0.023,4.104,
0.038,0.038,4.104,
0.036,0.024,4.104,
0.086,0.022,4.104,
0.081,0.024,4.104,
0.074,0.107,4.104,
0.090,0.024,4.104,
0.082,0.020,4.104,
0.073,0.024,4.104,
0.044,0.022,4.104,
0.065,0.021,4.104,
0.165,0.023,4.104,
0.043,0.023,4.104,
0.130,0.065,4.104,
0.058,0.021,4.104,
0.037,0.022,4.104,
0.031,0.022,4.104,
0.172,0.021,4.104,
0.210,0.023,4.104,
0.225,0.023,4.104,
0.205,0.065,4.104,
0.207,0.026,4.104,
0.064,0.022,4.104,
0.068,0.021,4.104,
0.054,0.022,4.104,
0.047,0.023,4.104,
0.037,0.019,4.104,
0.042,0.022,4.104,
0.044,0.024,4.104,
0.043,0.026,4.104,
0.043,0.023,4.104,
0.040,0.020,4.104,
0.048,0.023,4.104,
0.050,0.020,4.104,
0.045,0.025,4.104,
0.047,0.024,4.104,
0.038,0.022,4.104,
0.052,0.023,4.104,
0.035,0.021,4.104,
0.034,0.022,4.104,
0.035,0.024,4.104,
0.118,0.020,4.104,
0.038,0.021,4.104,
0.033,0.025,4.104,
0.041,0.022,4.104,
0.038,0.022,4.104,
0.033,0.025,4.104,
0.033,0.025,4.104,
0.037,0.028,4.104,
0.032,0.022,4.104,
0.045,0.023,4.104,
0.044,0.023,4.104,
0.059,0.029,4.104,
0.049,0.026,4.104,
0.056,0.041,4.104,
0.046,0.025,4.104,
0.046,0.024,4.104,
0.054,0.024,4.104,
0.054,0.023,4.104,
0.055,0.022,4.104,
0.056,0.028,4.104,
0.050,0.022,4.104,
0.051,0.024,4.104,
0.053,0.027,4.104,
0.050,0.027,4.104,
0.046,0.021,4.104,
0.047,0.023,4.104,
0.050,0.020,4.104,
0.045,0.049,4.104,
0.097,0.024,4.104,
0.125,0.025,4.104,
0.087,0.024,4.104,
