insert() runtime [ms],get() runtime [ms],memory usage [kB],
10.701,1.031,95.856,
7.097,0.977,95.856,
7.610,1.039,95.856,
6.773,1.348,95.856,
6.629,1.183,95.856,
11.885,0.998,95.856,
6.663,2.346,95.856,
6.751,1.089,95.856,
11.807,1.309,95.856,
10.777,0.936,95.856,
6.147,0.966,95.856,
8.292,1.037,95.856,
9.148,0.992,95.856,
8.493,1.531,95.856,
6.303,0.961,95.856,
8.473,1.349,95.856,
7.131,0.946,95.856,
9.856,2.286,95.856,
8.564,0.928,95.856,
6.148,1.165,95.856,
8.589,1.030,95.856,
9.794,1.226,95.856,
8.400,1.006,95.856,
7.539,0.941,95.856,
6.758,1.132,95.856,
11.843,1.277,95.856,
10.721,1.003,95.856,
5.966,3.172,95.856,
6.724,1.060,95.856,
6.629,0.954,95.856,
10.337,2.234,95.856,
6.510,0.916,95.856,
8.350,1.147,95.856,
7.143,0.983,95.856,
12.785,1.303,95.856,
9.731,0.948,95.856,
6.076,1.049,95.856,
9.907,1.725,95.856,
9.570,1.254,95.856,
7.621,1.938,95.856,
6.014,0.908,95.856,
6.750,1.011,95.856,
6.962,0.940,95.856,
12.094,1.821,95.856,
8.378,0.940,95.856,
6.432,1.204,95.856,
8.840,1.372,95.856,
12.029,0.995,95.856,
7.798,0.961,95.856,
7.829,0.953,95.856,
7.252,1.005,95.856,
6.855,1.097,95.856,
11.523,1.308,95.856,
6.018,1.051,95.856,
9.238,1.163,95.856,
8.759,0.900,95.856,
11.899,1.528,95.856,
6.888,0.987,95.856,
9.966,1.227,95.856,
10.879,2.426,95.856,
12.292,1.423,95.856,
6.083,1.106,95.856,
7.502,1.680,95.856,
6.790,0.956,95.856,
9.332,2.132,95.856,
9.057,0.957,95.856,
6.146,1.050,95.856,
8.335,0.960,95.856,
11.708,1.236,95.856,
8.295,3.518,95.856,
6.294,0.945,95.856,
8.770,1.365,95.856,
7.081,0.942,95.856,
9.881,1.962,95.856,
9.563,0.943,95.856,
6.056,2.458,95.856,
8.874,0.969,95.856,
12.574,0.995,95.856,
8.793,1.251,95.856,
6.290,1.159,95.856,
9.790,1.871,95.856,
10.934,1.178,95.856,
7.015,0.910,95.856,
8.499,2.095,95.856,
7.040,1.198,95.856,
9.012,1.946,95.856,
8.806,0.955,95.856,
8.073,1.069,95.856,
6.915,1.169,95.856,
12.234,1.688,95.856,
9.925,0.978,95.856,
5.964,0.974,95.856,
8.605,0.934,95.856,
9.692,1.340,95.856,
8.782,0.969,95.856,
8.024,0.895,95.856,
6.351,2.472,95.856,
7.300,1.025,95.856,
10.290,2.001,95.856,
8.433,0.907,95.856,
