insert() runtime [ms],get() runtime [ms],memory usage [kB],
23.977,166.464,4.144,
2.564,52.991,4.144,
4.357,59.689,4.144,
3.060,62.705,4.144,
14.013,80.405,4.144,
3.751,70.831,4.144,
3.719,56.102,4.144,
2.463,58.097,4.144,
7.403,59.560,4.144,
4.526,62.294,4.144,
3.218,62.695,4.144,
4.210,60.081,4.144,
2.626,61.136,4.144,
3.080,60.814,4.144,
4.199,59.263,4.144,
4.198,56.629,4.144,
7.278,64.226,4.144,
4.727,59.846,4.144,
3.833,58.307,4.144,
5.686,58.101,4.144,
6.329,59.452,4.144,
3.556,59.926,4.144,
8.717,77.564,4.144,
4.182,59.792,4.144,
5.010,60.108,4.144,
9.190,60.324,4.144,
3.289,62.276,4.144,
3.887,57.467,4.144,
6.441,57.691,4.144,
12.251,61.855,4.144,
3.288,60.142,4.144,
2.827,57.276,4.144,
5.435,56.544,4.144,
11.125,60.370,4.144,
5.650,57.762,4.144,
5.883,60.539,4.144,
5.385,58.822,4.144,
4.005,61.581,4.144,
10.030,58.179,4.144,
3.234,59.579,4.144,
3.725,59.634,4.144,
2.809,60.052,4.144,
3.826,59.106,4.144,
3.446,54.280,4.144,
4.090,58.142,4.144,
2.391,57.352,4.144,
3.108,59.635,4.144,
4.108,53.462,4.144,
5.101,59.527,4.144,
12.118,56.889,4.144,
8.435,60.028,4.144,
6.643,64.063,4.144,
3.822,63.802,4.144,
3.468,67.596,4.144,
3.606,58.036,4.144,
5.477,70.405,4.144,
3.222,67.453,4.144,
2.874,55.492,4.144,
5.635,57.665,4.144,
2.915,60.827,4.144,
2.705,57.091,4.144,
3.161,58.092,4.144,
3.322,58.221,4.144,
5.512,60.796,4.144,
6.632,57.076,4.144,
3.715,60.334,4.144,
5.537,56.387,4.144,
3.829,63.183,4.144,
2.704,57.141,4.144,
4.895,56.889,4.144,
5.745,59.670,4.144,
13.839,62.152,4.144,
3.249,60.630,4.144,
5.578,57.885,4.144,
3.077,59.923,4.144,
5.932,56.757,4.144,
7.722,61.659,4.144,
4.630,55.975,4.144,
12.524,59.978,4.144,
3.321,57.865,4.144,
5.545,59.620,4.144,
5.592,58.237,4.144,
6.095,58.748,4.144,
9.067,59.533,4.144,
5.006,56.167,4.144,
3.673,62.650,4.144,
3.467,59.856,4.144,
4.597,57.208,4.144,
5.307,57.614,4.144,
5.095,61.100,4.144,
3.654,63.549,4.144,
2.755,57.517,4.144,
5.072,58.121,4.144,
4.439,58.407,4.144,
2.889,60.329,4.144,
3.223,60.486,4.144,
2.529,61.713,4.144,
9.187,60.805,4.144,
3.723,61.153,4.144,
5.761,63.238,4.144,
