insert() runtime [ms],get() runtime [ms],memory usage [kB],
6.698,0.728,95.856,
6.417,0.649,95.856,
5.122,0.650,95.856,
4.895,0.682,95.856,
5.646,0.998,95.856,
5.900,0.890,95.856,
6.106,0.745,95.856,
5.412,0.662,95.856,
4.844,0.679,95.856,
5.027,0.670,95.856,
5.957,0.776,95.856,
5.706,0.847,95.856,
6.191,0.733,95.856,
4.985,0.653,95.856,
4.843,0.660,95.856,
6.135,0.942,95.856,
5.593,0.894,95.856,
5.726,0.783,95.856,
5.742,0.706,95.856,
4.888,0.663,95.856,
5.850,0.903,95.856,
5.847,0.835,95.856,
5.660,0.690,95.856,
6.082,0.665,95.856,
4.892,0.686,95.856,
5.547,0.829,95.856,
5.955,0.847,95.856,
6.021,0.724,95.856,
5.629,0.758,95.856,
5.137,0.687,95.856,
5.318,1.107,95.856,
5.904,0.823,95.856,
6.223,0.912,95.856,
5.572,0.694,95.856,
5.427,0.687,95.856,
4.987,0.956,95.856,
5.938,0.849,95.856,
5.907,0.815,95.856,
5.557,0.680,95.856,
4.858,0.672,95.856,
5.311,0.672,95.856,
6.655,0.874,95.856,
5.872,0.951,95.856,
5.066,0.669,95.856,
5.320,0.684,95.856,
5.279,0.694,95.856,
5.875,0.848,95.856,
5.897,0.777,95.856,
6.046,0.697,95.856,
5.509,0.652,95.856,
4.779,0.652,95.856,
5.626,0.970,95.856,
5.938,0.811,95.856,
5.992,0.913,95.856,
5.615,0.695,95.856,
4.868,0.685,95.856,
4.870,0.684,95.856,
6.537,0.991,95.856,
5.618,0.876,95.856,
6.287,0.706,95.856,
5.411,0.695,95.856,
4.974,0.664,95.856,
5.851,0.794,95.856,
5.903,0.762,95.856,
5.726,0.749,95.856,
7.074,0.717,95.856,
4.917,0.682,95.856,
5.487,1.098,95.856,
5.657,0.861,95.856,
5.912,0.704,95.856,
6.300,0.683,95.856,
4.921,0.711,95.856,
5.347,0.954,95.856,
5.876,0.967,95.856,
5.992,0.711,95.856,
5.685,0.710,95.856,
5.211,0.733,95.856,
4.872,0.929,95.856,
5.855,0.791,95.856,
5.841,0.878,95.856,
5.535,0.730,95.856,
5.524,0.661,95.856,
4.942,0.709,95.856,
6.193,0.831,95.856,
5.700,0.875,95.856,
5.722,0.717,95.856,
4.923,0.685,95.856,
5.411,0.677,95.856,
6.022,0.861,95.856,
5.611,0.901,95.856,
5.823,0.686,95.856,
5.147,0.688,95.856,
4.900,0.696,95.856,
5.948,0.946,95.856,
5.924,0.796,95.856,
6.416,0.725,95.856,
5.829,0.656,95.856,
4.932,0.688,95.856,
5.486,1.022,95.856,
6.219,0.807,95.856,
