insert() runtime [ms],get() runtime [ms],memory usage [kB],
2.548,46.655,4.144,
3.203,45.415,4.144,
3.399,45.721,4.144,
4.100,50.585,4.144,
2.600,46.375,4.144,
3.755,48.775,4.144,
3.713,45.799,4.144,
3.105,47.392,4.144,
4.527,48.355,4.144,
2.911,48.361,4.144,
3.155,47.695,4.144,
3.082,49.744,4.144,
3.131,48.453,4.144,
2.626,47.564,4.144,
2.765,49.322,4.144,
2.792,46.471,4.144,
16.864,48.024,4.144,
3.822,46.514,4.144,
3.696,46.089,4.144,
2.983,47.507,4.144,
4.289,48.875,4.144,
3.605,52.471,4.144,
3.191,47.645,4.144,
4.114,46.156,4.144,
3.050,45.646,4.144,
2.708,48.247,4.144,
2.877,47.671,4.144,
3.390,46.140,4.144,
2.444,46.689,4.144,
2.772,46.176,4.144,
3.066,46.368,4.144,
2.619,45.809,4.144,
2.571,46.410,4.144,
3.114,46.337,4.144,
2.867,46.833,4.144,
3.184,47.720,4.144,
2.876,47.754,4.144,
3.322,49.132,4.144,
2.682,49.971,4.144,
2.815,48.238,4.144,
3.838,50.508,4.144,
3.998,48.522,4.144,
5.451,46.408,4.144,
3.571,46.228,4.144,
3.181,47.414,4.144,
3.597,45.957,4.144,
3.058,46.403,4.144,
3.070,46.404,4.144,
3.051,46.734,4.144,
3.584,46.660,4.144,
3.084,46.764,4.144,
3.213,46.581,4.144,
3.961,46.011,4.144,
3.497,47.361,4.144,
2.976,50.921,4.144,
2.866,48.289,4.144,
2.856,50.330,4.144,
2.319,48.729,4.144,
2.782,47.062,4.144,
3.195,46.742,4.144,
2.800,46.804,4.144,
2.644,46.765,4.144,
3.239,48.379,4.144,
2.708,48.398,4.144,
2.509,48.581,4.144,
2.824,49.568,4.144,
2.482,47.072,4.144,
3.256,46.881,4.144,
2.553,47.911,4.144,
2.961,47.057,4.144,
2.996,49.289,4.144,
2.419,51.862,4.144,
3.146,50.024,4.144,
3.794,50.918,4.144,
2.706,50.619,4.144,
3.361,49.238,4.144,
2.859,48.316,4.144,
3.390,47.288,4.144,
2.857,48.609,4.144,
3.823,49.014,4.144,
3.207,49.082,4.144,
2.503,50.650,4.144,
3.326,48.688,4.144,
3.111,47.382,4.144,
3.717,47.673,4.144,
3.085,45.855,4.144,
3.970,47.612,4.144,
3.436,48.414,4.144,
3.770,47.507,4.144,
3.202,49.247,4.144,
4.019,48.796,4.144,
3.296,47.134,4.144,
3.760,47.558,4.144,
3.472,45.934,4.144,
3.187,47.608,4.144,
3.912,47.747,4.144,
3.648,48.054,4.144,
3.807,48.080,4.144,
3.509,47.705,4.144,
3.642,47.548,4.144,
