insert() runtime [ms],get() runtime [ms],memory usage [kB],
353.491,1.107,95.856,
351.603,1.188,95.856,
352.496,1.461,95.856,
353.139,1.166,95.856,
351.889,1.096,95.856,
346.365,1.259,95.856,
350.276,1.264,95.856,
355.104,1.158,95.856,
348.324,1.115,95.856,
352.941,1.112,95.856,
350.968,1.113,95.856,
348.709,1.173,95.856,
357.154,1.163,95.856,
354.351,1.208,95.856,
357.905,1.090,95.856,
357.118,1.144,95.856,
350.121,1.257,95.856,
352.851,1.134,95.856,
353.904,1.245,95.856,
351.700,1.173,95.856,
356.606,1.141,95.856,
351.856,1.136,95.856,
348.046,1.196,95.856,
353.140,1.147,95.856,
362.103,1.094,95.856,
354.276,1.123,95.856,
349.791,1.071,95.856,
350.319,1.130,95.856,
351.236,1.121,95.856,
352.585,1.262,95.856,
350.190,1.157,95.856,
347.641,1.130,95.856,
354.230,1.293,95.856,
349.579,1.458,95.856,
355.258,1.252,95.856,
349.600,1.337,95.856,
365.357,1.171,95.856,
359.079,1.124,95.856,
350.620,1.150,95.856,
353.512,1.137,95.856,
351.801,1.199,95.856,
350.885,1.150,95.856,
353.360,1.109,95.856,
349.992,1.107,95.856,
356.671,1.111,95.856,
353.234,1.089,95.856,
353.804,1.300,95.856,
354.753,1.086,95.856,
351.515,1.287,95.856,
352.921,1.140,95.856,
350.411,1.384,95.856,
347.959,1.113,95.856,
355.576,1.158,95.856,
349.915,1.315,95.856,
351.061,1.139,95.856,
350.098,1.131,95.856,
350.048,1.079,95.856,
355.738,1.138,95.856,
350.773,1.073,95.856,
354.105,1.166,95.856,
350.081,1.151,95.856,
352.854,1.157,95.856,
354.199,1.133,95.856,
347.503,1.189,95.856,
350.305,1.322,95.856,
349.567,1.105,95.856,
353.906,1.186,95.856,
350.968,1.519,95.856,
350.899,1.109,95.856,
351.502,1.195,95.856,
353.115,1.130,95.856,
352.710,1.144,95.856,
353.683,1.093,95.856,
356.779,1.153,95.856,
352.710,1.145,95.856,
353.431,1.172,95.856,
354.851,1.221,95.856,
351.851,1.355,95.856,
357.547,1.343,95.856,
354.894,1.094,95.856,
356.522,1.114,95.856,
349.956,1.112,95.856,
347.017,1.311,95.856,
351.896,1.238,95.856,
359.526,1.175,95.856,
351.936,1.175,95.856,
353.503,1.115,95.856,
354.164,1.103,95.856,
352.172,1.118,95.856,
352.348,1.135,95.856,
352.747,1.226,95.856,
349.782,1.130,95.856,
353.526,1.116,95.856,
354.265,1.254,95.856,
356.659,1.192,95.856,
356.302,1.130,95.856,
354.281,1.509,95.856,
351.654,1.233,95.856,
351.569,1.266,95.856,
352.982,1.140,95.856,
