insert() runtime [ms],get() runtime [ms],memory usage [kB],
15.206,236.919,4.144,
14.476,235.431,4.144,
15.053,234.875,4.144,
14.759,235.195,4.144,
14.712,232.674,4.144,
14.691,231.332,4.144,
14.738,235.176,4.144,
14.804,231.495,4.144,
14.695,234.174,4.144,
14.864,232.711,4.144,
14.744,233.677,4.144,
14.917,246.257,4.144,
14.694,232.742,4.144,
14.753,230.144,4.144,
15.021,231.015,4.144,
14.709,235.978,4.144,
14.776,238.600,4.144,
19.378,234.353,4.144,
15.168,236.104,4.144,
15.786,237.550,4.144,
15.627,235.735,4.144,
15.144,238.008,4.144,
20.669,234.920,4.144,
15.269,238.501,4.144,
15.561,234.292,4.144,
15.305,232.512,4.144,
15.226,235.849,4.144,
15.170,234.943,4.144,
15.251,239.576,4.144,
15.359,233.146,4.144,
15.633,234.456,4.144,
15.800,235.557,4.144,
15.197,234.643,4.144,
15.540,236.821,4.144,
15.319,233.560,4.144,
15.146,237.994,4.144,
14.965,231.924,4.144,
15.482,234.668,4.144,
15.217,234.474,4.144,
15.139,236.199,4.144,
15.216,235.836,4.144,
15.089,234.770,4.144,
15.159,234.346,4.144,
15.805,233.610,4.144,
14.961,232.063,4.144,
14.945,235.754,4.144,
15.784,233.575,4.144,
15.125,238.532,4.144,
14.888,233.505,4.144,
15.409,236.599,4.144,
15.090,244.166,4.144,
15.440,236.050,4.144,
15.431,240.600,4.144,
16.110,236.607,4.144,
15.477,238.148,4.144,
15.875,236.487,4.144,
15.412,235.377,4.144,
14.989,242.492,4.144,
15.332,237.776,4.144,
15.159,238.086,4.144,
15.456,238.912,4.144,
15.305,234.579,4.144,
15.692,240.727,4.144,
15.149,241.049,4.144,
15.601,235.780,4.144,
15.181,238.203,4.144,
15.554,235.327,4.144,
15.017,238.103,4.144,
15.365,236.974,4.144,
15.280,239.758,4.144,
25.314,238.085,4.144,
15.135,236.844,4.144,
15.954,239.176,4.144,
14.965,236.678,4.144,
15.161,240.674,4.144,
15.212,236.447,4.144,
15.065,238.081,4.144,
14.963,237.193,4.144,
15.124,235.806,4.144,
14.926,237.739,4.144,
15.213,235.441,4.144,
15.140,235.857,4.144,
15.125,232.898,4.144,
15.130,239.164,4.144,
15.365,240.626,4.144,
14.836,239.901,4.144,
15.372,239.363,4.144,
15.009,233.884,4.144,
15.089,238.413,4.144,
14.858,239.394,4.144,
14.822,233.788,4.144,
14.946,238.806,4.144,
15.300,236.483,4.144,
15.347,237.541,4.144,
15.686,235.069,4.144,
15.274,232.719,4.144,
15.267,240.895,4.144,
15.068,235.814,4.144,
15.510,234.085,4.144,
15.284,238.468,4.144,
