insert() runtime [ms],get() runtime [ms],memory usage [kB],
28.845,33.124,64.000,
29.088,33.020,64.000,
28.543,32.895,64.000,
27.852,32.993,64.000,
28.619,33.075,64.000,
29.366,32.966,64.000,
28.598,33.001,64.000,
28.408,32.871,64.000,
27.860,33.072,64.000,
28.756,33.917,64.000,
29.773,33.205,64.000,
28.351,32.916,64.000,
28.091,32.870,64.000,
28.514,33.064,64.000,
29.104,32.969,64.000,
28.412,33.055,64.000,
28.510,32.885,64.000,
28.298,32.834,64.000,
28.367,33.179,64.000,
28.773,32.879,64.000,
28.568,33.033,64.000,
28.668,32.862,64.000,
28.397,33.111,64.000,
28.803,32.956,64.000,
28.600,33.439,64.000,
28.604,32.994,64.000,
28.899,33.343,64.000,
28.340,32.893,64.000,
27.796,33.050,64.000,
29.032,32.971,64.000,
28.973,32.963,64.000,
28.224,32.965,64.000,
28.653,33.150,64.000,
28.207,32.912,64.000,
28.098,32.868,64.000,
28.563,33.269,64.000,
29.190,32.988,64.000,
28.214,33.121,64.000,
27.960,32.752,64.000,
27.966,32.975,64.000,
28.120,33.011,64.000,
28.294,33.033,64.000,
28.521,32.871,64.000,
28.198,32.886,64.000,
28.027,33.221,64.000,
29.250,33.102,64.000,
28.468,33.057,64.000,
28.161,32.847,64.000,
27.249,33.107,64.000,
28.581,32.985,64.000,
28.101,32.993,64.000,
28.139,32.883,64.000,
27.780,33.057,64.000,
28.401,33.245,64.000,
28.568,32.952,64.000,
27.848,32.833,64.000,
28.398,33.134,64.000,
29.652,33.356,64.000,
27.058,32.942,64.000,
27.981,33.076,64.000,
28.667,32.871,64.000,
28.237,32.913,64.000,
28.545,33.182,64.000,
28.017,33.054,64.000,
28.142,33.492,64.000,
28.616,32.986,64.000,
29.192,33.247,64.000,
27.360,33.148,64.000,
28.160,33.017,64.000,
29.149,33.429,64.000,
28.223,32.959,64.000,
28.219,33.039,64.000,
27.295,32.971,64.000,
28.486,32.915,64.000,
27.745,32.888,64.000,
28.445,33.122,64.000,
28.357,32.874,64.000,
28.047,32.983,64.000,
28.579,33.007,64.000,
29.038,33.421,64.000,
28.049,32.939,64.000,
28.160,32.915,64.000,
28.487,32.876,64.000,
28.917,32.946,64.000,
28.716,32.946,64.000,
28.045,33.148,64.000,
28.370,33.342,64.000,
28.479,33.014,64.000,
28.594,32.858,64.000,
28.422,32.882,64.000,
27.878,32.915,64.000,
28.123,33.012,64.000,
28.859,32.874,64.000,
28.569,33.168,64.000,
28.157,32.955,64.000,
28.107,33.130,64.000,
30.421,34.535,64.000,
29.025,34.335,64.000,
28.857,33.084,64.000,
27.843,32.915,64.000,
