insert() runtime [ms],get() runtime [ms],memory usage [kB],
7.012,0.224,32.776,
6.906,0.222,32.776,
6.446,0.206,32.776,
6.417,0.224,32.776,
6.537,0.222,32.776,
6.656,0.210,32.776,
6.926,0.239,32.776,
6.650,0.209,32.776,
6.408,0.233,32.776,
6.601,0.206,32.776,
6.591,0.226,32.776,
6.704,0.257,32.776,
7.109,0.204,32.776,
6.408,0.216,32.776,
6.497,0.212,32.776,
6.516,0.214,32.776,
6.717,0.217,32.776,
7.125,0.209,32.776,
6.513,0.214,32.776,
6.432,0.209,32.776,
6.534,0.226,32.776,
6.671,0.222,32.776,
6.671,0.244,32.776,
7.019,0.227,32.776,
6.394,0.281,32.776,
6.656,0.204,32.776,
6.542,0.233,32.776,
6.634,0.227,32.776,
7.113,0.210,32.776,
6.546,0.207,32.776,
6.461,0.239,32.776,
6.561,0.210,32.776,
6.831,0.212,32.776,
6.919,0.247,32.776,
6.914,0.205,32.776,
6.419,0.209,32.776,
6.470,0.211,32.776,
6.521,0.218,32.776,
6.742,0.216,32.776,
7.149,0.212,32.776,
6.575,0.213,32.776,
6.509,0.216,32.776,
6.583,0.229,32.776,
6.608,0.228,32.776,
6.904,0.261,32.776,
6.705,0.213,32.776,
6.469,0.216,32.776,
6.610,0.221,32.776,
6.689,0.199,32.776,
6.563,0.227,32.776,
6.974,0.222,32.776,
6.509,0.218,32.776,
6.627,0.201,32.776,
6.793,0.212,32.776,
6.656,0.211,32.776,
6.715,0.220,32.776,
6.496,0.249,32.776,
6.732,0.221,32.776,
6.698,0.232,32.776,
6.662,0.250,32.776,
6.928,0.245,32.776,
6.432,0.215,32.776,
6.533,0.216,32.776,
6.687,0.212,32.776,
6.663,0.209,32.776,
6.942,0.222,32.776,
6.664,0.211,32.776,
6.664,0.203,32.776,
6.522,0.232,32.776,
6.603,0.230,32.776,
6.796,0.240,32.776,
6.883,0.208,32.776,
6.403,0.216,32.776,
6.648,0.218,32.776,
6.597,0.218,32.776,
6.726,0.229,32.776,
7.170,0.215,32.776,
6.528,0.212,32.776,
6.474,0.225,32.776,
6.494,0.229,32.776,
6.657,0.207,32.776,
6.706,0.223,32.776,
6.833,0.224,32.776,
6.349,0.211,32.776,
6.516,0.206,32.776,
6.554,0.221,32.776,
6.635,0.210,32.776,
6.918,0.229,32.776,
6.647,0.216,32.776,
6.402,0.219,32.776,
6.545,0.218,32.776,
6.561,0.210,32.776,
6.639,0.233,32.776,
6.957,0.255,32.776,
6.399,0.214,32.776,
6.624,0.205,32.776,
6.555,0.194,32.776,
6.617,0.213,32.776,
6.970,0.255,32.776,
6.575,0.224,32.776,
