insert() runtime [ms],get() runtime [ms],memory usage [kB],
1.455,26.617,64.000,
0.921,26.469,64.000,
1.439,26.370,64.000,
1.277,26.448,64.000,
1.023,26.563,64.000,
0.960,26.499,64.000,
1.732,26.390,64.000,
0.855,26.593,64.000,
1.382,26.787,64.000,
1.095,26.373,64.000,
1.142,26.434,64.000,
0.845,26.434,64.000,
1.052,26.462,64.000,
1.192,26.411,64.000,
1.033,26.423,64.000,
0.905,26.534,64.000,
1.268,26.369,64.000,
1.014,26.534,64.000,
1.044,26.465,64.000,
1.013,26.457,64.000,
1.366,26.338,64.000,
0.933,26.675,64.000,
1.099,26.567,64.000,
0.993,26.463,64.000,
1.126,26.540,64.000,
0.865,26.471,64.000,
1.442,26.414,64.000,
0.901,26.385,64.000,
1.026,26.636,64.000,
1.274,26.422,64.000,
1.200,26.430,64.000,
0.833,26.751,64.000,
1.246,26.920,64.000,
1.117,26.217,64.000,
1.300,26.878,64.000,
1.256,26.529,64.000,
1.238,26.447,64.000,
1.088,26.453,64.000,
1.043,26.627,64.000,
1.246,26.514,64.000,
1.782,26.400,64.000,
0.829,26.591,64.000,
1.380,26.603,64.000,
0.910,26.515,64.000,
1.431,26.648,64.000,
0.964,26.479,64.000,
1.284,26.423,64.000,
0.973,26.435,64.000,
1.095,26.497,64.000,
0.839,26.597,64.000,
1.588,26.607,64.000,
1.143,26.479,64.000,
1.380,26.501,64.000,
0.834,26.531,64.000,
1.345,26.393,64.000,
1.046,26.560,64.000,
1.019,26.511,64.000,
1.074,26.567,64.000,
1.398,26.408,64.000,
0.959,26.501,64.000,
1.035,26.480,64.000,
1.015,26.386,64.000,
1.361,26.481,64.000,
1.009,26.772,64.000,
1.013,26.453,64.000,
0.955,26.470,64.000,
1.110,26.472,64.000,
0.859,26.562,64.000,
1.513,26.475,64.000,
1.072,26.376,64.000,
1.707,26.667,64.000,
0.856,26.493,64.000,
1.185,26.920,64.000,
1.308,26.447,64.000,
1.012,26.572,64.000,
0.955,26.404,64.000,
1.667,26.235,64.000,
0.962,26.706,64.000,
1.238,26.368,64.000,
0.964,26.572,64.000,
1.100,26.523,64.000,
1.034,26.416,64.000,
1.176,26.320,64.000,
0.989,26.785,64.000,
2.000,26.326,64.000,
1.042,26.620,64.000,
1.007,26.476,64.000,
1.093,26.379,64.000,
1.058,26.503,64.000,
0.794,26.485,64.000,
1.370,26.386,64.000,
0.956,26.491,64.000,
1.037,26.531,64.000,
1.045,26.550,64.000,
1.475,26.552,64.000,
0.917,26.543,64.000,
1.268,26.477,64.000,
1.321,26.376,64.000,
1.036,26.889,64.000,
1.232,26.495,64.000,
