insert() runtime [ms],get() runtime [ms],memory usage [kB],
1.304,0.214,32.776,
1.255,0.207,32.776,
1.076,0.197,32.776,
1.165,0.208,32.776,
1.318,0.199,32.776,
1.160,0.197,32.776,
1.372,0.234,32.776,
1.164,0.186,32.776,
0.945,0.194,32.776,
0.975,0.204,32.776,
0.981,0.196,32.776,
0.979,0.198,32.776,
0.944,0.196,32.776,
0.946,0.199,32.776,
1.059,0.194,32.776,
1.055,0.196,32.776,
1.133,0.201,32.776,
1.133,0.197,32.776,
1.255,0.226,32.776,
1.611,0.204,32.776,
1.093,0.193,32.776,
1.295,0.199,32.776,
1.351,0.198,32.776,
1.267,0.186,32.776,
0.952,0.197,32.776,
1.228,0.189,32.776,
1.374,0.204,32.776,
0.968,0.182,32.776,
0.951,0.193,32.776,
0.966,0.214,32.776,
0.965,0.199,32.776,
0.954,0.200,32.776,
0.973,0.187,32.776,
0.936,0.199,32.776,
0.937,0.205,32.776,
0.951,0.199,32.776,
0.932,0.206,32.776,
1.070,0.201,32.776,
1.900,0.251,32.776,
1.280,0.202,32.776,
1.477,0.186,32.776,
2.025,0.204,32.776,
1.181,0.200,32.776,
1.490,0.203,32.776,
1.524,0.199,32.776,
0.963,0.202,32.776,
1.233,0.198,32.776,
1.312,0.199,32.776,
1.092,0.201,32.776,
1.406,0.206,32.776,
1.118,0.208,32.776,
0.994,0.200,32.776,
1.011,0.203,32.776,
1.001,0.191,32.776,
0.968,0.187,32.776,
0.932,0.194,32.776,
0.968,0.192,32.776,
1.039,0.197,32.776,
1.105,0.196,32.776,
1.165,0.203,32.776,
1.263,0.193,32.776,
1.234,0.204,32.776,
1.483,0.213,32.776,
1.048,0.202,32.776,
1.348,0.209,32.776,
1.325,0.199,32.776,
1.327,0.207,32.776,
0.951,0.183,32.776,
1.265,0.203,32.776,
1.318,0.198,32.776,
0.965,0.196,32.776,
0.988,0.192,32.776,
0.934,0.191,32.776,
0.944,0.198,32.776,
0.992,0.195,32.776,
0.974,0.192,32.776,
0.980,0.187,32.776,
0.956,0.192,32.776,
0.931,0.193,32.776,
1.010,0.197,32.776,
1.549,0.235,32.776,
1.516,0.213,32.776,
1.128,0.221,32.776,
1.892,0.205,32.776,
1.494,0.205,32.776,
1.046,0.211,32.776,
1.424,0.210,32.776,
1.314,0.184,32.776,
0.982,0.205,32.776,
1.171,0.196,32.776,
1.427,0.210,32.776,
1.634,0.207,32.776,
1.065,0.203,32.776,
0.957,0.204,32.776,
1.086,0.205,32.776,
0.939,0.191,32.776,
0.956,0.185,32.776,
0.977,0.191,32.776,
0.980,0.198,32.776,
0.942,0.203,32.776,
